125.,RADEČE,1.821.161,1.083.609,892.860,767.109,767.109,76.198,65.164,0,839,10.194,49.554,2.679,0,0,46.874,0,0,190.749,160.987,0,100,5.596,155.291,7.344,7.344,104,104,17.393,17.393,4.920,4.920,123.923,98.260,98.260,0,0,0,0,0,0,25.664,0,25.664,0,209,209,209,0,0,0,0,613.420,613.420,547.300,66.120,0,0
126.,RADENCI,2.307.603,1.507.219,1.212.089,906.272,906.272,81.401,60.436,0,551,20.414,224.416,860,0,117,223.439,0,0,295.130,41.767,0,0,2.220,39.547,6.184,6.184,1.640,1.640,0,0,245.539,245.539,0,0,0,0,0,0,0,0,0,0,0,0,0,229.511,229.511,0,229.511,0,0,0,570.873,570.873,570.873,0,0,0
127.,RADLJE OB DRAVI,2.297.217,1.334.806,1.184.752,794.788,794.788,361.183,343.807,0,2.967,14.409,28.781,4.507,0,843,23.431,0,0,150.054,44.855,0,3.601,851,40.402,10.603,10.603,0,0,59.786,59.786,34.811,34.811,27.316,0,0,0,0,0,0,0,0,27.316,0,25.438,1.878,0,0,0,0,0,0,0,935.094,935.094,935.094,0,0,0
128.,RADOVLJICA,7.173.569,5.527.984,4.921.198,3.613.328,3.613.328,1.137.097,876.957,0,17.101,243.040,170.773,54.561,0,0,116.212,0,0,606.785,375.134,0,8.450,71.420,295.264,27.913,27.913,14.655,14.655,32.595,32.595,156.489,156.489,803.401,680.229,399.470,0,225,280.533,0,0,0,123.172,0,123.172,0,0,0,0,0,0,0,0,842.184,842.184,717.297,124.887,0,0
129.,RAVNE NA KOROŠKEM,4.530.959,3.122.229,2.708.488,2.052.191,2.052.191,561.576,493.165,1.415,1.398,65.598,94.721,48.264,0,951,45.506,0,0,413.741,230.621,0,2.967,4.198,223.456,17.818,17.818,376,376,8.742,8.742,156.184,156.184,378.985,33.116,33.116,0,0,0,0,0,0,345.869,0,345.869,0,18.432,18.432,14.259,4.173,0,0,0,1.011.313,1.011.313,1.011.313,0,0,0
130.,RAZKRIŽJE,445.656,136.071,107.328,99.357,99.357,6.794,4.657,0,234,1.903,1.177,0,0,0,1.177,0,0,28.743,6.952,0,0,4.427,2.525,1.398,1.398,0,0,9.944,9.944,10.449,10.449,1.394,1.394,0,1.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.191,308.191,306.981,1.210,0,0
131.,RIBNICA,3.528.468,1.871.461,1.539.013,1.284.318,1.284.318,128.710,62.590,0,4.423,61.697,125.985,3.902,0,0,122.083,0,0,332.449,94.246,0,0,3.359,90.886,16.249,16.249,638,638,46.595,46.595,174.720,174.720,42.964,31.055,31.055,0,0,0,0,0,0,11.910,0,11.910,0,0,0,0,0,0,0,0,1.614.042,1.614.042,1.609.448,4.594,0,0
132.,RIBNICA NA POHORJU,607.912,194.705,134.856,101.043,101.043,10.758,7.211,0,972,2.575,23.055,83,0,346,22.626,0,0,59.848,51.757,0,0,6.259,45.497,1.965,1.965,46,46,0,0,6.080,6.080,4.231,4.231,517,0,0,3.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.976,408.976,334.556,0,0,74.420
133.,ROGAŠKA SLATINA,3.643.140,2.299.182,2.185.558,1.465.202,1.465.202,539.747,366.345,0,11.830,161.572,180.608,47.413,0,0,133.196,0,0,113.625,51.198,0,0,40.260,10.937,3.226,3.226,1.719,1.719,0,0,57.482,57.482,34.009,0,0,0,0,0,0,0,0,34.009,0,34.009,0,34.377,34.377,6.347,28.030,0,0,0,1.275.572,1.275.572,1.275.572,0,0,0
134.,ROGAŠOVCI,1.435.683,307.549,207.152,195.660,195.660,5.633,58,0,2.291,3.284,5.859,1.027,0,0,4.832,0,0,100.396,19.533,0,13,14.088,5.433,18.398,18.398,0,0,0,0,62.465,62.465,0,0,0,0,0,0,0,0,0,0,0,0,0,10.691,10.691,0,10.691,0,0,0,1.117.443,1.117.443,1.117.443,0,0,0
135.,ROGATEC,1.931.243,608.630,463.362,309.452,309.452,120.593,97.672,79,1.886,20.956,33.317,972,0,0,32.344,0,0,145.268,51.540,0,0,34.927,16.612,5.387,5.387,714,714,41.767,41.767,45.860,45.860,431.652,0,0,0,0,0,0,0,0,431.652,0,431.652,0,580,580,580,0,0,0,0,890.381,890.381,890.381,0,0,0
136.,RUŠE,2.973.665,2.141.742,1.889.242,1.085.249,1.085.249,707.136,637.064,0,6.314,63.758,96.858,8.705,0,0,88.153,0,0,252.500,147.605,0,11.951,34.314,101.340,9.414,9.414,154,154,5.738,5.738,89.589,89.589,133.788,23.640,23.640,0,0,0,0,0,0,110.149,0,110.149,0,2.316,2.316,2.316,0,0,0,0,695.819,695.819,687.131,58,0,8.630
137.,SELNICA OB DRAVI,1.951.488,1.196.633,1.066.147,608.226,608.226,369.856,340.648,0,1.215,27.993,88.065,477,0,0,87.588,0,0,130.486,78.604,0,3.687,21.084,53.833,7.485,7.485,0,0,15.762,15.762,28.635,28.635,1.244,1.244,1.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.611,753.611,573.142,86.432,0,94.037
138.,SEMIČ,1.763.783,576.544,540.878,461.851,461.851,49.270,30.483,0,6.606,12.181,29.757,71,0,0,29.686,0,0,35.666,11.238,0,0,1.936,9.301,8.075,8.075,134,134,3.146,3.146,13.074,13.074,68.040,9.201,9.201,0,0,0,0,0,0,58.838,0,58.838,0,34.343,34.343,3.735,30.608,0,0,0,1.084.856,1.084.856,1.084.856,0,0,0
139.,SEVNICA,7.192.672,3.560.578,2.826.135,2.391.950,2.391.950,326.582,235.424,0,-5.191,96.349,107.603,32.520,0,0,75.083,0,0,734.443,141.037,0,0,8.701,132.336,18.661,18.661,388,388,175.613,175.613,398.744,398.744,171.107,64.413,62.844,0,472,1.097,0,0,0,106.693,2.112,104.582,0,208.684,208.684,0,208.684,0,0,0,3.252.303,3.252.303,3.252.303,0,0,0
140.,SEŽANA,5.548.260,5.013.900,4.272.980,2.829.916,2.829.916,450.296,347.171,0,24.178,78.948,992.768,913.103,0,0,79.665,0,0,740.920,302.591,19.692,44.901,47.709,190.290,25.538,25.538,129,129,3.781,3.781,408.880,408.880,102.166,33.676,33.676,0,0,0,0,0,0,68.490,0,68.490,0,2.399,2.399,0,2.399,0,0,0,429.795,429.795,429.795,0,0,0
141.,SLOVENJ GRADEC (M),8.962.690,6.242.785,3.855.329,2.923.577,2.923.577,788.704,652.345,0,6.289,130.070,143.048,30.517,0,0,112.531,0,0,2.387.456,1.474.103,1.085,12.711,75.109,1.385.199,31.952,31.952,14.050,14.050,11.037,11.037,856.314,856.314,279.102,140.256,140.256,0,0,0,0,0,0,138.846,0,138.846,0,94.851,94.851,94.851,0,0,0,0,2.345.952,2.345.952,2.327.424,18.528,0,0
142.,SLOVENSKA BISTRICA,11.846.307,6.122.826,5.596.987,3.943.987,3.943.987,1.311.705,1.154.607,0,20.285,136.814,341.295,52.525,0,0,288.771,0,0,525.839,342.147,0,2.170,53.109,286.868,38.575,38.575,275,275,451,451,144.392,144.392,493.415,469.767,468.657,1.110,0,0,0,0,0,23.648,0,23.648,0,22.580,22.580,22.580,0,0,0,0,5.207.486,5.207.486,5.157.528,49.958,0,0
143.,SLOVENSKE KONJICE,4.682.503,2.389.130,2.054.849,1.810.645,1.810.645,187.239,114.200,0,6.940,66.099,56.965,6.430,0,0,50.534,0,0,334.281,201.210,0,2.091,4.928,194.191,19.959,19.959,1.473,1.473,3.910,3.910,107.728,107.728,166.617,130.483,129.440,1.043,0,0,0,0,0,36.133,0,36.133,0,0,0,0,0,0,0,0,2.126.757,2.126.757,2.012.961,0,0,113.796
144.,SODRAŽICA,701.790,272.734,251.052,236.617,236.617,6.301,939,0,463,4.899,8.133,125,0,0,8.008,0,0,21.683,505,0,0,305,200,6.368,6.368,54,54,472,472,14.284,14.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.056,429.056,428.017,0,0,1.039
145.,SOLČAVA,405.675,92.038,73.548,43.215,43.215,12.127,1.836,0,730,9.560,18.206,117,0,0,18.090,0,0,18.490,16.091,0,0,451,15.640,1.039,1.039,0,0,42,42,1.319,1.319,421,421,421,0,0,0,0,0,0,0,0,0,0,1.043,1.043,1.043,0,0,0,0,312.172,312.172,268.194,22.071,0,21.908
146.,STARŠE,1.755.834,1.598.460,1.515.707,515.703,515.703,996.507,990.189,0,2.829,3.489,3.497,951,0,0,2.545,0,0,82.753,47.613,10.966,0,33.959,2.687,6.472,6.472,271,271,1.160,1.160,27.237,27.237,8.058,8.058,1.853,6.205,0,0,0,0,0,0,0,0,0,563,563,563,0,0,0,0,148.752,148.752,140.206,8.546,0,0
147.,SVETA ANA,975.960,300.839,176.394,132.328,132.328,26.694,25.221,0,154,1.319,17.372,351,0,0,17.021,0,0,124.445,38.353,296,0,29.507,8.550,1.611,1.611,63,63,41.696,41.696,42.722,42.722,14.342,13.766,13.766,0,0,0,0,0,0,576,0,576,0,0,0,0,0,0,0,0,660.779,660.779,660.779,0,0,0
148.,SVETI ANDRAŽ V SLOV. GORICAH,590.690,122.542,59.372,54.603,54.603,1.953,42,0,0,1.911,2.817,384,0,1.381,1.052,0,0,63.170,5.041,0,0,3.518,1.523,1.577,1.577,0,0,0,0,56.551,56.551,0,0,0,0,0,0,0,0,0,0,0,0,0,4.160,4.160,4.160,0,0,0,0,463.988,463.988,463.988,0,0,0
149.,SVETI JURIJ,1.238.913,287.652,208.125,181.368,181.368,7.591,463,0,463,6.664,19.166,2.571,0,5.575,11.021,0,0,79.528,44.237,0,0,14.238,29.999,3.998,3.998,305,305,0,0,30.988,30.988,0,0,0,0,0,0,0,0,0,0,0,0,0,48.606,48.606,0,48.606,0,0,0,902.654,902.654,895.214,0,0,7.440
150.,ŠALOVCI,1.347.396,293.590,120.435,95.936,95.936,2.016,1.097,0,918,0,22.484,768,0,11.288,10.428,0,0,173.156,11.129,0,0,1.252,9.877,7.415,7.415,0,0,0,0,154.611,154.611,7.148,5.834,5.834,0,0,0,0,0,0,1.314,1.314,0,0,2.228,2.228,2.228,0,0,0,0,1.044.429,1.044.429,1.000.300,0,0,44.129
151.,ŠEMPETER - VRTOJBA,4.751.568,4.725.395,4.512.609,1.791.173,1.791.173,837.811,772.580,0,5.839,59.392,1.883.625,966.822,0,0,916.803,0,0,212.785,138.651,4.015,0,90.471,44.166,10.782,10.782,486,486,0,0,62.866,62.866,26.174,0,0,0,0,0,0,0,0,26.174,2.819,23.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.,ŠENČUR,2.660.745,2.261.805,1.810.524,1.611.572,1.611.572,166.771,109.189,0,5.212,52.370,32.182,6.243,0,0,25.939,0,0,451.281,356.572,0,3.756,110.420,242.397,9.560,9.560,605,605,12.832,12.832,71.712,71.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.940,398.940,398.940,0,0,0
153.,ŠENTILJ,4.223.469,2.836.079,2.495.038,1.022.684,1.022.684,698.489,678.760,0,8.166,11.563,773.865,18.703,0,0,755.162,0,0,341.041,192.063,0,25.050,68.490,98.523,12.940,12.940,985,985,0,0,135.053,135.053,9.251,0,0,0,0,0,0,0,0,9.251,0,9.251,0,0,0,0,0,0,0,0,1.378.138,1.378.138,1.276.840,0,0,101.298
154.,ŠENTJERNEJ,2.835.286,1.171.553,960.061,786.108,786.108,63.249,42.055,0,8.809,12.385,110.704,376,0,0,110.328,0,0,211.492,99.875,0,2.003,34.418,63.454,6.230,6.230,605,605,0,0,104.782,104.782,79.006,0,0,0,0,0,0,0,0,79.006,0,79.006,0,9.247,9.247,9.247,0,0,0,0,1.575.480,1.575.480,1.575.480,0,0,0
155.,ŠENTJUR,6.088.938,2.701.281,2.612.886,2.241.642,2.241.642,218.841,160.946,0,7.056,50.839,152.404,7.912,0,0,144.492,0,0,88.395,9.573,6.209,426,2.938,0,23.431,23.431,0,0,0,0,55.391,55.391,254.173,0,0,0,0,0,0,0,0,254.173,0,254.173,0,0,0,0,0,0,0,0,3.133.484,3.133.484,3.133.484,0,0,0
156.,ŠKOCJAN,1.212.172,469.700,357.048,337.861,337.861,13.529,7.344,0,839,5.346,5.658,146,0,0,5.512,0,0,112.652,105.579,0,801,41.078,63.700,2.925,2.925,75,75,230,230,3.843,3.843,0,0,0,0,0,0,0,0,0,0,0,0,0,1.127,1.127,1.127,0,0,0,0,741.345,741.345,720.481,0,0,20.865
157.,ŠKOFJA LOKA,8.298.514,7.039.155,5.891.704,4.632.983,4.632.983,1.041.404,898.861,0,12.406,130.137,217.318,25.885,0,0,191.433,0,0,1.147.450,968.490,4.903,7.499,12.223,943.866,28.693,28.693,7.929,7.929,49.796,49.796,92.543,92.543,270.623,221.507,128.622,0,0,92.885,49.115,0,49.115,0,0,0,0,10.966,0,0,0,10.966,10.966,0,977.771,977.771,962.398,15.373,0,0
158.,ŠKOFLJICA,2.270.314,2.227.959,1.678.468,1.450.413,1.450.413,199.149,131.631,96,1.277,66.145,28.906,4.619,0,0,24.286,0,0,549.491,76.097,0,0,44.742,31.355,10.140,10.140,801,801,13.161,13.161,449.291,449.291,1.490,0,0,0,0,0,0,0,0,1.490,0,1.490,0,0,0,0,0,0,0,0,40.865,40.865,8.333,0,0,32.532
159.,ŠMARJE PRI JELŠAH,4.016.324,1.719.997,1.312.335,1.062.118,1.062.118,156.510,124.591,0,8.166,23.752,93.707,15.227,0,0,78.480,0,0,407.661,80.366,0,0,7.169,73.197,15.089,15.089,2.646,2.646,1.832,1.832,307.728,307.728,75.505,75.113,75.113,0,0,0,0,0,0,392,392,0,0,0,0,0,0,0,0,0,2.220.823,2.220.823,2.220.823,0,0,0
160.,ŠMARTNO OB PAKI,1.031.585,663.879,551.490,455.788,455.788,63.963,49.074,0,939,13.950,31.739,584,0,0,31.155,0,0,112.389,14.993,0,0,242,14.751,1.035,1.035,334,334,0,0,96.027,96.027,21.950,3.923,3.923,0,0,0,0,0,0,18.027,0,18.027,0,40.064,40.064,40.064,0,0,0,0,305.692,305.692,305.692,0,0,0
161.,ŠOŠTANJ,3.660.850,2.997.513,2.704.102,1.282.424,1.282.424,626.356,592.919,0,1.461,31.977,795.322,6.230,0,0,789.092,0,0,293.411,102.808,0,13,722,102.074,15.265,15.265,876,876,31.881,31.881,142.581,142.581,35.391,16.095,16.095,0,0,0,0,0,0,19.296,6.355,12.940,0,0,0,0,0,0,0,0,627.946,627.946,627.946,0,0,0
162.,ŠTORE,2.413.462,855.550,655.233,435.699,435.699,147.179,104.219,1.244,4.490,37.227,72.354,1.473,0,0,70.881,0,0,200.317,11.451,0,0,355,11.096,9.848,9.848,0,0,13.675,13.675,165.344,165.344,608.116,173.135,173.135,0,0,0,0,0,0,434.982,418.586,16.395,0,0,0,0,0,0,0,0,949.796,949.796,949.796,0,0,0
163.,TABOR,791.320,195.005,165.331,142.197,142.197,13.620,8.020,0,743,4.857,9.514,150,0,0,9.364,0,0,29.674,8.822,0,0,355,8.467,1.486,1.486,0,0,6.264,6.264,13.103,13.103,1.398,1.398,1.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.917,594.917,594.917,0,0,0
164.,TIŠINA,2.128.747,796.382,504.369,454.653,454.653,8.091,33,33,693,7.332,41.625,2.879,0,0,38.746,0,0,292.013,16.567,0,0,6.789,9.777,7.503,7.503,0,0,29.098,29.098,238.846,238.846,21.395,13.800,13.800,0,0,0,0,0,0,7.595,4.010,3.585,0,0,0,0,0,0,0,0,1.310.971,1.310.971,1.106.414,179.490,0,25.067
165.,TOLMIN,6.203.964,3.123.944,2.910.662,2.174.670,2.174.670,384.247,308.171,0,9.644,66.433,351.744,313.595,0,29,38.120,0,0,213.282,112.339,0,0,3.906,108.433,19.784,19.784,2.500,2.500,3.802,3.802,74.858,74.858,173.719,71.632,71.632,0,0,0,0,0,0,102.086,0,102.086,0,73.898,0,0,0,73.898,73.898,0,2.832.403,2.832.403,2.816.546,15.857,0,0
166.,TRBOVLJE,6.760.374,5.038.612,4.362.732,3.431.318,3.431.318,831.677,729.115,0,12.999,89.564,99.737,30.976,0,0,68.761,0,0,675.880,566.859,0,21.987,9.848,535.023,35.566,35.566,204,204,5.537,5.537,67.714,67.714,325.409,233.963,233.542,0,421,0,0,0,0,91.446,0,91.446,0,350.981,350.981,4.123,346.858,0,0,0,1.045.372,1.045.372,1.045.372,0,0,0
167.,TREBNJE,7.083.066,3.549.783,3.180.780,2.466.270,2.466.270,582.419,473.118,0,23.823,85.478,132.090,50.338,0,0,81.752,0,0,369.004,144.154,0,0,43.290,100.864,57.828,57.828,1.164,1.164,53.630,53.630,112.227,112.227,50.505,47.972,44.145,3.551,0,275,0,0,0,2.533,2.533,0,0,0,0,0,0,0,0,0,3.482.778,3.482.778,2.983.575,272.605,0,226.598
168.,TRNOVSKA VAS,603.968,201.803,91.174,69.012,69.012,3.451,42,0,668,2.742,18.711,175,0,1.878,16.658,0,0,110.628,10.996,0,0,7.378,3.618,1.982,1.982,0,0,0,0,97.651,97.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.166,402.166,402.166,0,0,0
169.,TRZIN,2.223.918,2.048.185,1.717.503,1.126.962,1.126.962,532.687,168.239,0,6.425,358.023,57.855,15.281,0,0,42.574,0,0,330.682,94.683,0,0,34.547,60.137,6.524,6.524,17,17,13.071,13.071,216.388,216.388,123.135,85.384,84.160,1.120,105,0,0,0,0,37.750,15.642,22.108,0,0,0,0,0,0,0,0,52.598,52.598,436,52.162,0,0
170.,TRŽIČ,5.231.197,3.350.559,2.921.086,2.450.739,2.450.739,406.155,291.767,0,14.042,100.346,64.192,21.407,0,0,42.785,0,0,429.473,299.211,0,3.914,7.228,288.070,16.562,16.562,6.155,6.155,21.057,21.057,86.488,86.488,322.192,239.451,239.296,0,154,0,0,0,0,82.741,24.120,58.621,0,36.250,8.838,417,8.421,27.412,27.412,0,1.522.196,1.522.196,1.520.443,0,0,1.753
171.,TURNIŠČE,1.930.512,654.678,329.861,299.595,299.595,18.052,17.718,0,334,0,12.214,6.581,0,0,5.633,0,0,324.816,54.957,0,0,28.280,26.678,3.672,3.672,75,75,0,0,266.112,266.112,2.725,2.725,0,0,0,2.725,0,0,0,0,0,0,0,113.637,113.637,0,113.637,0,0,0,1.159.473,1.159.473,1.034.665,104.323,0,20.485
172.,VELENJE (M),12.895.076,11.778.326,10.727.216,7.250.551,7.250.551,1.747.976,1.427.979,0,3.993,316.003,1.728.689,69.575,0,0,1.659.114,0,0,1.051.110,661.747,0,609,13.595,647.542,48.556,48.556,18.344,18.344,21.657,21.657,300.805,300.805,522.697,311.617,311.617,0,0,0,0,0,0,211.079,2.349,208.730,0,18.582,18.582,18.261,321,0,0,0,575.472,575.472,523.573,51.899,0,0
173.,VELIKA POLANA,554.774,211.897,131.251,123.815,123.815,4.786,4.448,0,17,321,2.650,175,0,0,2.475,0,0,80.646,1.135,0,0,939,196,2.337,2.337,0,0,2.566,2.566,74.608,74.608,0,0,0,0,0,0,0,0,0,0,0,0,0,7.415,4.982,2.228,2.754,2.433,2.433,0,335.462,335.462,335.462,0,0,0
174.,VELIKE LAŠČE,1.694.004,859.986,738.600,635.149,635.149,77.061,61.238,0,759,15.064,26.390,7.157,0,0,19.233,0,0,121.386,16.984,0,0,6.756,10.228,7.148,7.148,584,584,7.833,7.833,88.837,88.837,1.461,0,0,0,0,0,0,0,0,1.461,0,1.461,0,44.508,44.508,0,44.508,0,0,0,788.049,788.049,474.378,280.287,0,33.383
175.,VERŽEJ,632.445,314.614,225.876,181.247,181.247,14.180,8.317,0,989,4.874,30.450,217,0,0,30.233,0,0,88.737,8.500,0,0,2.199,6.301,2.379,2.379,0,0,13.566,13.566,64.292,64.292,1.794,613,613,0,0,0,0,0,0,1.181,0,1.181,0,0,0,0,0,0,0,0,316.037,316.037,296.370,19.667,0,0
176.,VIDEM,2.284.990,740.290,611.780,486.893,486.893,13.741,513,0,96,13.132,111.146,66.420,0,4.081,40.644,0,0,128.509,18.774,0,0,13.741,5.033,6.339,6.339,0,0,0,0,103.397,103.397,0,0,0,0,0,0,0,0,0,0,0,0,0,5.408,5.408,5.408,0,0,0,0,1.539.292,1.539.292,1.477.270,62.022,0,0
177.,VIPAVA,2.477.533,1.875.288,1.730.208,867.213,867.213,32.357,709,0,4.273,27.374,830.638,309.973,0,0,520.664,0,0,145.080,127.437,0,0,81.339,46.098,7.123,7.123,593,593,5.880,5.880,4.048,4.048,28.881,27.733,27.733,0,0,0,0,0,0,1.148,484,664,0,32.966,2.141,2.141,0,30.825,0,30.825,540.398,540.398,507.098,32.870,0,430
178.,VITANJE,927.395,289.881,255.596,210.833,210.833,26.306,13.988,0,171,12.147,18.457,1.911,0,0,16.546,0,0,34.285,20.560,0,2.086,9.385,9.089,4.185,4.185,0,0,0,0,9.539,9.539,2.391,2.391,0,2.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635.124,635.124,566.788,0,0,68.336
179.,VODICE,1.314.889,991.203,838.391,684.823,684.823,97.930,54.536,0,267,43.127,55.638,3.639,0,0,51.999,0,0,152.813,63.570,0,0,28.814,34.756,6.956,6.956,142,142,6.568,6.568,75.576,75.576,125,125,0,0,125,0,0,0,0,0,0,0,0,409,409,409,0,0,0,0,323.151,323.151,269.054,12.369,0,41.729
180.,VOJNIK,3.105.237,1.714.822,1.193.507,1.039.372,1.039.372,60.783,31.501,0,6.067,23.214,93.353,6.130,0,50,87.172,0,0,521.315,3.263,0,58,2.153,1.052,8.613,8.613,0,0,5.529,5.529,503.910,503.910,90.056,18.340,12.707,5.633,0,0,0,0,0,71.716,36.304,35.411,0,0,0,0,0,0,0,0,1.300.359,1.300.359,1.290.302,0,0,10.057
181.,VRANSKO,1.478.810,400.159,296.090,241.925,241.925,31.985,23.168,0,2.754,6.063,22.179,1.878,0,0,20.301,0,0,104.069,42.677,0,0,417,42.259,2.625,2.625,0,0,714,714,58.054,58.054,3.280,3.280,3.280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.075.371,1.075.371,1.075.371,0,0,0
182.,VRHNIKA,6.881.814,6.114.288,4.799.295,3.766.525,3.766.525,630.362,377.779,647,11.367,240.569,402.408,11.100,0,0,391.308,0,0,1.314.993,272.379,0,5.980,801,265.598,22.350,22.350,355,355,69.997,69.997,949.912,949.912,224.458,125.104,125.104,0,0,0,0,0,0,99.353,0,99.353,0,3.856,3.856,3.856,0,0,0,0,539.213,539.213,504.640,27.404,0,7.169
183.,VUZENICA,1.121.107,1.018.152,946.357,364.785,364.785,564.167,557.081,0,722,6.364,17.405,872,0,580,15.953,0,0,71.795,50.417,0,0,12.836,37.581,11.851,11.851,50,50,0,0,9.477,9.477,4.632,4.632,4.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.322,98.322,84.581,13.741,0,0
184.,ZAGORJE OB SAVI,6.161.446,4.339.981,3.573.055,2.865.941,2.865.941,681.960,625.613,0,6.172,50.175,25.154,5.074,0,0,20.080,0,0,766.925,181.084,1.002,18.849,430,160.804,32.465,32.465,542,542,90.870,90.870,461.964,461.964,106.606,69.771,69.771,0,0,0,0,0,0,36.834,0,36.834,0,0,0,0,0,0,0,0,1.714.860,1.714.860,1.714.860,0,0,0
185.,ZAVRČ,975.538,402.454,196.653,86.459,86.459,2.137,1.068,0,179,889,108.058,0,0,1.206,106.852,0,0,205.800,12.502,0,0,9.360,3.142,3.372,3.372,0,0,0,0,189.927,189.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.085,573.085,573.085,0,0,0
186.,ZREČE,2.579.632,1.282.878,1.098.506,770.143,770.143,171.916,102.345,0,1.544,68.027,156.447,8.066,0,0,148.381,0,0,184.372,55.500,0,2.082,1.193,52.224,13.353,13.353,388,388,1.394,1.394,113.737,113.737,160.829,100.008,100.008,0,0,0,0,0,0,60.820,0,60.820,0,0,0,0,0,0,0,0,1.135.925,1.135.925,1.108.446,12.903,0,14.576
187.,ŽALEC,7.523.189,4.924.182,4.584.510,3.517.389,3.517.389,494.296,278.906,0,14.171,201.218,572.826,98.060,0,0,474.766,0,0,339.672,97.972,0,4.277,33.008,60.687,34.907,34.907,914,914,39.259,39.259,166.621,166.621,222.851,80.408,80.408,0,0,0,0,0,0,142.443,0,142.443,0,0,0,0,0,0,0,0,2.376.156,2.376.156,2.260.578,84.084,0,31.493
188.,ŽELEZNIKI,2.964.555,1.492.084,1.323.581,1.007.895,1.007.895,288.716,266.600,0,2.904,19.212,26.970,2.833,0,0,24.136,0,0,168.503,74.908,0,2.550,27.633,44.725,8.980,8.980,459,459,2.913,2.913,81.243,81.243,62.377,71,0,0,71,0,0,0,0,62.306,0,62.306,0,20.865,20.865,0,20.865,0,0,0,1.389.230,1.389.230,1.388.913,0,317,0
189.,ŽETALE,1.274.695,185.240,87.982,79.252,79.252,526,83,0,4,438,8.204,0,0,926,7.278,0,0,97.258,2.571,0,0,622,1.949,1.369,1.369,0,0,0,0,93.319,93.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.089.455,1.089.455,1.087.978,0,0,1.477
190.,ŽIRI,1.850.772,1.219.354,893.353,742.848,742.848,118.661,99.082,0,88,19.492,31.844,1.627,0,0,30.216,0,0,326.002,55.454,0,1.832,1.360,52.262,8.346,8.346,192,192,222.100,222.100,39.910,39.910,13.191,142,0,142,0,0,0,0,0,13.049,0,13.049,0,0,0,0,0,0,0,0,618.227,618.227,605.429,0,12.798,0
191.,ŽIROVNICA,1.341.704,1.217.272,1.052.800,910.816,910.816,126.678,102.178,0,430,24.069,15.306,3.847,0,0,11.459,0,0,164.472,138.307,18.432,1.915,18.365,99.595,6.781,6.781,321,321,71,71,18.991,18.991,50.935,50.935,50.880,0,0,54,0,0,0,0,0,0,0,20.385,20.385,0,20.385,0,0,0,53.113,53.113,53.113,0,0,0
192.,ŽUŽEMBERK,1.961.451,689.388,530.337,452.754,452.754,58.087,37.248,0,4.569,16.270,19.496,426,0,0,19.070,0,0,159.051,10.812,0,0,10.812,0,2.195,2.195,96,96,0,0,145.948,145.948,7.699,7.699,7.699,0,0,0,0,0,0,0,0,0,0,4.899,4.899,0,4.899,0,0,0,1.259.464,1.259.464,1.259.464,0,0,0
,SKUPAJ,897.380.136,647.461.415,525.441.220,379.196.312,379.196.312,106.287.614,81.560.620,11.922,1.817.524,22.897.547,39.862.427,12.648.078,0,74.303,27.140.046,94.867,94.867,122.020.196,49.284.314,519.446,1.240.676,8.931.871,38.592.320,4.320.589,4.320.589,1.677.735,1.677.735,5.262.012,5.262.012,61.475.546,61.475.546,36.641.464,15.245.867,14.685.850,88.847,3.560,467.610,49.291,0,49.291,21.346.306,622.075,20.501.622,222.609,4.069.279,3.530.675,805.617,2.725.058,538.604,420.902,117.702,209.207.978,209.207.978,196.950.923,6.589.837,292.172,5.375.046
