163.,TABOR,658.880 ,271.941 ,242.180 ,163.671 ,163.671 ,19.099 ,10.520 ,0 ,225 ,8.354 ,59.410 ,342 ,0 ,0 ,59.068 ,0 ,0 ,29.761 ,8.037 ,0 ,718 ,267 ,7.052 ,5.266 ,5.266 ,8 ,8 ,3.948 ,3.948 ,12.502 ,12.502 ,19.483 ,18.857 ,18.857 ,0 ,0 ,0 ,0 ,626 ,0 ,626 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,367.455 ,367.455 ,367.455 ,0 ,0 ,0 
164.,TIŠINA,2.098.386 ,847.911 ,690.027 ,537.645 ,537.645 ,51.269 ,42.609 ,43 ,505 ,8.112 ,101.112 ,2.173 ,0 ,50 ,98.888 ,0 ,0 ,157.885 ,21.443 ,0 ,0 ,1.302 ,20.141 ,14.389 ,14.389 ,558 ,558 ,42.747 ,42.747 ,78.748 ,78.748 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.086 ,2.086 ,0 ,2.086 ,0 ,0 ,0 ,1.248.388 ,1.248.388 ,1.131.579 ,59.235 ,467 ,57.106 
165.,TOLMIN,7.049.491 ,4.117.810 ,3.182.461 ,2.487.256 ,2.487.256 ,383.308 ,251.577 ,0 ,32.540 ,99.190 ,311.897 ,2.287 ,0 ,288 ,309.322 ,0 ,0 ,935.349 ,633.025 ,0 ,0 ,13.604 ,619.421 ,41.049 ,41.049 ,1.961 ,1.961 ,1.168 ,1.168 ,258.146 ,258.146 ,114.864 ,10.457 ,10.457 ,0 ,0 ,0 ,0 ,104.407 ,1.010 ,103.397 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.816.817 ,2.816.817 ,2.780.375 ,36.442 ,0 ,0 
166.,TRBOVLJE,9.038.854 ,7.032.344 ,6.248.869 ,4.231.681 ,4.231.681 ,1.207.219 ,1.078.902 ,0 ,15.920 ,112.398 ,809.969 ,18.816 ,0 ,0 ,791.153 ,0 ,0 ,783.475 ,644.308 ,0 ,28.464 ,15.936 ,599.908 ,41.187 ,41.187 ,847 ,847 ,2.596 ,2.596 ,94.538 ,94.538 ,205.229 ,79.761 ,79.761 ,0 ,0 ,0 ,0 ,125.467 ,0 ,125.467 ,0 ,32.666 ,32.666 ,626 ,32.040 ,0 ,0 ,0 ,1.768.615 ,1.768.615 ,1.601.698 ,0 ,0 ,166.917 
167.,TREBNJE,10.040.569 ,5.582.111 ,4.760.361 ,3.061.738 ,3.061.738 ,670.435 ,544.195 ,0 ,15.999 ,110.240 ,1.028.188 ,3.810 ,0 ,0 ,1.024.378 ,0 ,0 ,821.749 ,244.079 ,0 ,0 ,107.499 ,136.580 ,51.160 ,51.160 ,1.152 ,1.152 ,111.605 ,111.605 ,413.754 ,413.754 ,457.632 ,24.495 ,24.299 ,67 ,129 ,0 ,0 ,433.137 ,19.467 ,413.671 ,0 ,2.963 ,2.963 ,0 ,2.963 ,0 ,0 ,0 ,3.997.863 ,3.997.863 ,3.159.848 ,184.798 ,0 ,653.217 
168.,TRNOVSKA VAS,637.435 ,199.320 ,123.105 ,101.189 ,101.189 ,3.835 ,38 ,0 ,960 ,2.838 ,18.081 ,1.590 ,0 ,0 ,16.491 ,0 ,0 ,76.214 ,6.497 ,0 ,0 ,1.707 ,4.791 ,3.860 ,3.860 ,75 ,75 ,0 ,0 ,65.782 ,65.782 ,37.348 ,25.305 ,25.305 ,0 ,0 ,0 ,0 ,12.043 ,492 ,11.551 ,0 ,3.184 ,3.184 ,0 ,3.184 ,0 ,0 ,0 ,397.584 ,397.584 ,375.985 ,11.304 ,0 ,10.295 
169.,TRZIN,3.796.635 ,2.421.575 ,2.151.119 ,1.531.335 ,1.531.335 ,466.339 ,252.792 ,0 ,148 ,213.400 ,153.444 ,75.461 ,0 ,0 ,77.983 ,0 ,0 ,270.456 ,204.628 ,8.346 ,0 ,121.101 ,75.181 ,13.549 ,13.549 ,52 ,52 ,11.096 ,11.096 ,41.131 ,41.131 ,1.355.091 ,1.314.472 ,0 ,0 ,0 ,1.314.472 ,0 ,40.619 ,25.126 ,15.493 ,0 ,19.969 ,19.969 ,0 ,19.969 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
170.,TRŽIČ,7.192.293 ,4.854.828 ,4.311.651 ,2.960.094 ,2.960.094 ,748.769 ,527.391 ,0 ,17.768 ,203.610 ,602.788 ,14.906 ,0 ,0 ,587.882 ,0 ,0 ,543.177 ,384.952 ,0 ,5.208 ,6.355 ,373.389 ,36.087 ,36.087 ,9.569 ,9.569 ,22.292 ,22.292 ,90.277 ,90.277 ,426.932 ,232.824 ,232.824 ,0 ,0 ,0 ,0 ,194.108 ,22.634 ,171.474 ,0 ,44.458 ,36.058 ,29 ,36.029 ,8.400 ,8.400 ,0 ,1.866.074 ,1.866.074 ,1.866.074 ,0 ,0 ,0 
171.,TURNIŠČE,2.220.868 ,976.511 ,443.905 ,384.235 ,384.235 ,25.243 ,18.258 ,0 ,3.865 ,3.120 ,34.428 ,906 ,0 ,0 ,33.522 ,0 ,0 ,532.606 ,17.715 ,0 ,0 ,15.667 ,2.048 ,11.812 ,11.812 ,758 ,758 ,0 ,0 ,502.320 ,502.320 ,900 ,900 ,900 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.243.457 ,1.243.457 ,1.084.051 ,159.406 ,0 ,0 
172.,MESTNA OBČINA VELENJE,15.418.628 ,14.615.970 ,13.322.146 ,8.705.391 ,8.705.391 ,2.969.667 ,2.528.272 ,0 ,9.510 ,431.885 ,1.647.087 ,35.862 ,0 ,0 ,1.611.225 ,0 ,0 ,1.293.824 ,799.545 ,0 ,0 ,66.796 ,732.749 ,94.408 ,94.408 ,25.805 ,25.805 ,41.905 ,41.905 ,332.161 ,332.161 ,544.721 ,216.533 ,216.533 ,0 ,0 ,0 ,0 ,328.188 ,0 ,328.188 ,0 ,23.823 ,23.681 ,23.681 ,0 ,142 ,142 ,0 ,234.114 ,234.114 ,93.048 ,141.066 ,0 ,0 
173.,VELIKA POLANA,634.231 ,264.789 ,177.278 ,166.007 ,166.007 ,4.674 ,4.294 ,0 ,150 ,230 ,6.597 ,0 ,0 ,0 ,6.597 ,0 ,0 ,87.510 ,5.596 ,401 ,0 ,1.027 ,4.169 ,3.739 ,3.739 ,267 ,267 ,213 ,213 ,77.696 ,77.696 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29.210 ,29.210 ,0 ,29.210 ,0 ,0 ,0 ,340.231 ,340.231 ,340.231 ,0 ,0 ,0 
174.,VELIKE LAŠČE,3.331.364 ,1.164.480 ,905.529 ,739.079 ,739.079 ,80.583 ,52.929 ,0 ,8.488 ,19.166 ,85.866 ,32.520 ,0 ,0 ,53.347 ,0 ,0 ,258.951 ,58.776 ,0 ,0 ,44.947 ,13.829 ,10.608 ,10.608 ,3.560 ,3.560 ,10.770 ,10.770 ,175.238 ,175.238 ,1.251.878 ,0 ,0 ,0 ,0 ,0 ,0 ,1.251.878 ,0 ,0 ,1.251.878 ,58.893 ,58.893 ,0 ,58.893 ,0 ,0 ,0 ,856.113 ,856.113 ,605.738 ,250.376 ,0 ,0 
175.,VERŽEJ,670.173 ,390.281 ,292.789 ,205.644 ,205.644 ,21.233 ,10.313 ,0 ,370 ,10.550 ,65.913 ,418 ,0 ,0 ,65.495 ,0 ,0 ,97.492 ,8.327 ,0 ,0 ,2.362 ,5.965 ,4.310 ,4.310 ,21 ,21 ,14.401 ,14.401 ,70.432 ,70.432 ,10.414 ,10.233 ,3.495 ,0 ,0 ,6.738 ,0 ,181 ,0 ,181 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,269.478 ,269.478 ,255.771 ,13.707 ,0 ,0 
176.,VIDEM,2.697.734 ,870.130 ,697.283 ,613.186 ,613.186 ,14.284 ,1.006 ,0 ,2.358 ,10.921 ,69.813 ,542 ,0 ,42 ,69.229 ,0 ,0 ,172.847 ,16.617 ,0 ,0 ,7.424 ,9.193 ,13.921 ,13.921 ,25 ,25 ,41.350 ,41.350 ,100.935 ,100.935 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54 ,54 ,54 ,0 ,0 ,0 ,0 ,1.827.550 ,1.827.550 ,1.806.752 ,20.798 ,0 ,0 
177.,VIPAVA,2.396.783 ,1.663.908 ,1.250.054 ,1.005.825 ,1.005.825 ,23.172 ,263 ,0 ,1.661 ,21.249 ,221.057 ,1.097 ,0 ,0 ,219.959 ,0 ,0 ,413.854 ,384.569 ,0 ,2.107 ,18.903 ,363.558 ,16.183 ,16.183 ,522 ,522 ,1.548 ,1.548 ,11.033 ,11.033 ,1.039 ,1.039 ,1.039 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43.757 ,6.940 ,1.377 ,5.563 ,36.818 ,0 ,36.818 ,688.078 ,688.078 ,660.199 ,27.879 ,0 ,0 
178.,VITANJE,1.108.392 ,360.904 ,325.789 ,255.062 ,255.062 ,54.711 ,38.207 ,0 ,2.829 ,13.675 ,16.016 ,655 ,0 ,0 ,15.361 ,0 ,0 ,35.115 ,5.738 ,0 ,3.597 ,1.999 ,142 ,5.754 ,5.754 ,647 ,647 ,1.636 ,1.636 ,21.340 ,21.340 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,747.488 ,747.488 ,661.918 ,85.570 ,0 ,0 
179.,VODICE,3.556.656 ,3.289.167 ,1.266.729 ,908.358 ,908.358 ,234.297 ,172.613 ,0 ,8.083 ,53.601 ,124.074 ,3.889 ,0 ,0 ,120.184 ,0 ,0 ,2.022.438 ,1.765.427 ,0 ,0 ,328.067 ,1.437.360 ,10.361 ,10.361 ,693 ,693 ,109.418 ,109.418 ,136.538 ,136.538 ,12.081 ,167 ,0 ,42 ,125 ,0 ,0 ,11.914 ,0 ,11.914 ,0 ,4.674 ,4.674 ,4.674 ,0 ,0 ,0 ,0 ,250.734 ,250.734 ,249.962 ,0 ,772 ,0 
180.,VOJNIK,3.381.197 ,1.960.770 ,1.673.752 ,1.334.097 ,1.334.097 ,132.874 ,74.725 ,0 ,3.768 ,54.382 ,206.781 ,2.241 ,0 ,0 ,204.540 ,0 ,0 ,287.018 ,9.243 ,0 ,280 ,6.355 ,2.608 ,21.720 ,21.720 ,634 ,634 ,7.353 ,7.353 ,248.068 ,248.068 ,318.106 ,277.717 ,277.717 ,0 ,0 ,0 ,0 ,40.390 ,2.975 ,37.414 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.102.320 ,1.102.320 ,1.084.160 ,18.161 ,0 ,0 
181.,VRANSKO,1.208.880 ,564.810 ,519.717 ,296.102 ,296.102 ,53.655 ,26.193 ,292 ,6.806 ,20.364 ,169.959 ,2.283 ,0 ,0 ,167.677 ,0 ,0 ,45.093 ,9.168 ,0 ,1.148 ,605 ,7.415 ,9.811 ,9.811 ,0 ,0 ,413 ,413 ,25.701 ,25.701 ,10.303 ,5.775 ,5.775 ,0 ,0 ,0 ,0 ,4.528 ,0 ,4.528 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,633.767 ,633.767 ,633.767 ,0 ,0 ,0 
182.,VRHNIKA,7.658.755 ,7.489.831 ,6.151.794 ,4.814.109 ,4.814.109 ,872.984 ,463.671 ,-401 ,27.333 ,382.382 ,464.701 ,6.794 ,0 ,0 ,457.908 ,0 ,0 ,1.338.036 ,680.575 ,0 ,21.190 ,1.198 ,658.187 ,41.934 ,41.934 ,3.551 ,3.551 ,78.438 ,78.438 ,533.538 ,533.538 ,91.692 ,84.214 ,84.214 ,0 ,0 ,0 ,0 ,7.478 ,0 ,7.478 ,0 ,309 ,309 ,309 ,0 ,0 ,0 ,0 ,76.924 ,76.924 ,50.292 ,26.632 ,0 ,0 
183.,VUZENICA,1.521.470 ,1.263.645 ,1.166.804 ,453.251 ,453.251 ,655.237 ,648.389 ,0 ,3.526 ,3.322 ,58.317 ,764 ,0 ,0 ,57.553 ,0 ,0 ,96.841 ,69.091 ,0 ,793 ,8.559 ,59.740 ,8.667 ,8.667 ,421 ,421 ,0 ,0 ,18.661 ,18.661 ,23.181 ,5.362 ,5.362 ,0 ,0 ,0 ,0 ,17.818 ,0 ,17.818 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,234.644 ,234.644 ,206.910 ,26.540 ,0 ,1.193 
184.,ZAGORJE OB SAVI,7.231.956 ,4.930.684 ,4.547.976 ,3.550.421 ,3.550.421 ,652.003 ,558.325 ,392 ,22.722 ,70.564 ,345.552 ,4.782 ,0 ,0 ,340.769 ,0 ,0 ,382.707 ,194.108 ,0 ,16.320 ,7.056 ,170.731 ,39.438 ,39.438 ,622 ,622 ,47.813 ,47.813 ,100.726 ,100.726 ,295.005 ,183.104 ,183.104 ,0 ,0 ,0 ,0 ,111.901 ,25.559 ,86.342 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.006.268 ,2.006.268 ,2.006.268 ,0 ,0 ,0 
185.,ZAVRČ,799.449 ,306.456 ,218.933 ,110.516 ,110.516 ,6.255 ,1.173 ,0 ,17 ,5.066 ,102.162 ,1.945 ,0 ,0 ,100.217 ,0 ,0 ,87.523 ,4.432 ,0 ,0 ,184 ,4.248 ,6.268 ,6.268 ,67 ,67 ,0 ,0 ,76.757 ,76.757 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,492.994 ,492.994 ,492.994 ,0 ,0 ,0 
186.,ZREČE,2.752.162 ,1.747.480 ,1.457.353 ,1.046.382 ,1.046.382 ,221.136 ,165.661 ,0 ,1.302 ,54.173 ,189.835 ,1.340 ,0 ,0 ,188.495 ,0 ,0 ,290.127 ,50.822 ,0 ,3.568 ,1.494 ,45.760 ,17.873 ,17.873 ,476 ,476 ,680 ,680 ,220.276 ,220.276 ,184.790 ,179.832 ,179.832 ,0 ,0 ,0 ,0 ,4.957 ,150 ,4.807 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,819.892 ,819.892 ,792.747 ,9.861 ,0 ,17.284 
187.,ŽALEC,9.066.754 ,6.899.641 ,5.656.251 ,4.102.529 ,4.102.529 ,638.116 ,415.148 ,96 ,29.932 ,192.939 ,915.607 ,40.728 ,0 ,0 ,874.879 ,0 ,0 ,1.243.390 ,739.856 ,0 ,10.261 ,8.208 ,721.386 ,48.427 ,48.427 ,3.080 ,3.080 ,48.777 ,48.777 ,403.251 ,403.251 ,171.779 ,42.718 ,42.593 ,0 ,125 ,0 ,0 ,129.060 ,0 ,129.060 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.995.335 ,1.995.335 ,1.836.000 ,29.807 ,0 ,129.528 
188.,ŽELEZNIKI,3.099.044 ,2.106.247 ,1.774.441 ,1.356.476 ,1.356.476 ,327.796 ,301.828 ,0 ,9.139 ,16.829 ,90.169 ,6.172 ,0 ,0 ,83.997 ,0 ,0 ,331.806 ,138.512 ,0 ,3.009 ,12.339 ,123.164 ,19.316 ,19.316 ,225 ,225 ,162.556 ,162.556 ,11.196 ,11.196 ,12.790 ,0 ,0 ,0 ,0 ,0 ,0 ,12.790 ,0 ,12.790 ,0 ,1.461 ,1.461 ,0 ,1.461 ,0 ,0 ,0 ,978.547 ,978.547 ,978.547 ,0 ,0 ,0 
189.,ŽETALE,893.958 ,333.555 ,178.305 ,107.716 ,107.716 ,62.135 ,60.107 ,0 ,643 ,1.385 ,8.454 ,0 ,0 ,0 ,8.454 ,0 ,0 ,155.250 ,21.102 ,0 ,0 ,246 ,20.856 ,7.766 ,7.766 ,42 ,42 ,0 ,0 ,126.340 ,126.340 ,29.227 ,29.227 ,29.227 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,531.176 ,531.176 ,530.458 ,0 ,0 ,718 
190.,ŽIRI,2.210.216 ,1.586.473 ,1.172.472 ,919.076 ,919.076 ,148.907 ,123.200 ,0 ,5.324 ,20.383 ,104.489 ,40.245 ,0 ,0 ,64.244 ,0 ,0 ,414.002 ,59.499 ,0 ,2.181 ,2.204 ,55.114 ,13.708 ,13.708 ,148 ,148 ,273.716 ,273.716 ,66.930 ,66.930 ,60.015 ,0 ,0 ,0 ,0 ,0 ,0 ,60.015 ,0 ,60.015 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,563.727 ,563.727 ,558.286 ,0 ,0 ,5.441 
191.,ŽIROVNICA,1.936.551 ,1.721.854 ,1.454.728 ,1.133.575 ,1.133.575 ,186.793 ,157.578 ,0 ,217 ,28.998 ,134.360 ,1.461 ,0 ,0 ,132.899 ,0 ,0 ,267.126 ,217.551 ,0 ,2.420 ,28.142 ,186.989 ,8.913 ,8.913 ,50 ,50 ,626 ,626 ,39.985 ,39.985 ,186.096 ,185.921 ,185.754 ,0 ,167 ,0 ,0 ,175 ,0 ,175 ,0 ,83 ,83 ,0 ,83 ,0 ,0 ,0 ,28.518 ,28.518 ,28.518 ,0 ,0 ,0 
192.,ŽUŽEMBERK,3.017.823 ,871.407 ,736.985 ,561.901 ,561.901 ,55.709 ,35.775 ,0 ,11.380 ,8.555 ,119.375 ,830 ,0 ,0 ,118.544 ,0 ,0 ,134.422 ,32.036 ,0 ,0 ,30.020 ,2.016 ,11.951 ,11.951 ,835 ,835 ,0 ,0 ,89.601 ,89.601 ,7.595 ,0 ,0 ,0 ,0 ,0 ,0 ,7.595 ,0 ,7.595 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.138.821 ,2.138.821 ,1.534.990 ,602.779 ,0 ,1.052 
,SKUPAJ,1.105.220.221 ,842.809.144 ,686.770.320 ,466.306.894 ,466.306.894 ,136.029.841 ,101.951.667 ,13.234 ,2.677.392 ,31.387.549 ,84.279.387 ,6.673.921 ,0 ,3.977 ,77.601.489 ,154.198 ,154.198 ,156.038.824 ,80.575.432 ,1.210.580 ,1.719.222 ,9.356.159 ,68.289.470 ,6.685.829 ,6.685.829 ,2.229.147 ,2.229.147 ,6.657.057 ,6.657.057 ,59.891.359 ,59.891.359 ,53.609.507 ,19.292.477 ,16.644.365 ,51.589 ,125.773 ,2.470.751 ,35.211 ,34.281.819 ,525.928 ,32.503.003 ,1.252.888 ,4.140.832 ,2.540.676 ,706.033 ,1.834.643 ,1.600.156 ,444.381 ,1.155.775 ,204.660.738 ,204.660.738 ,191.006.528 ,9.164.367 ,474.152 ,4.015.690 
