,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009
,,,,,,,,,,,,,,,,,"STANJE SREDSTEV NA RAČUNIH
DNE 31. 12. PRETEKLEGA LETA",
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,,Splošni sklad za drugo
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,
62.,KOČEVJE,0 ,0 ,0 ,0 ,0 ,0 ,77.838 ,77.838 ,77.838 ,0 ,0 ,0 ,-143.327 ,-77.838 ,65.490 ,744.458 ,744.458 
63.,KOMEN,172.342 ,172.342 ,172.342 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.143 ,172.342 ,173.485 ,109.952 ,109.952 
64.,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-601.239 ,0 ,601.239 ,253.080 ,253.080 
65.,MESTNA OBČINA KOPER,0 ,0 ,0 ,0 ,0 ,0 ,33.939 ,33.939 ,21.734 ,0 ,12.205 ,0 ,18.427.751 ,-33.939 ,-5.754.386 ,19.843.244 ,19.843.244 
66.,KOSTEL,166.838 ,166.838 ,166.838 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,65.461 ,166.838 ,101.377 ,0 ,0 
67.,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,19.863 ,19.863 ,19.863 ,0 ,0 ,0 ,-43.177 ,-19.863 ,23.314 ,49.662 ,49.662 
68.,MESTNA OBČINA KRANJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.122.887 ,0 ,-2.469.771 ,2.708.204 ,2.708.204 
69.,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,151.998 ,0 ,-151.998 ,967.630 ,967.630 
70.,KRIŽEVCI,290.227 ,290.227 ,0 ,0 ,290.227 ,0 ,6.351 ,6.351 ,0 ,0 ,6.351 ,0 ,-51.855 ,283.876 ,335.731 ,702.074 ,702.074 
71.,KRŠKO,1.752.629 ,1.752.629 ,1.752.629 ,0 ,0 ,0 ,488.078 ,488.078 ,465.248 ,0 ,22.830 ,0 ,-160.474 ,1.264.551 ,1.465.189 ,1.189.317 ,1.189.317 
72.,KUNGOTA,34.114 ,34.114 ,0 ,0 ,34.114 ,0 ,17.518 ,17.518 ,2.203 ,0 ,15.315 ,0 ,-21.841 ,16.596 ,38.437 ,18.248 ,18.248 
73.,KUZMA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-34.613 ,0 ,37.128 ,0 ,0 
74.,LAŠKO,486.985 ,486.985 ,0 ,0 ,486.985 ,0 ,129.156 ,129.156 ,114.338 ,0 ,14.818 ,0 ,1.298.840 ,357.828 ,1.193.499 ,877.082 ,877.082 
75.,LENART,0 ,0 ,0 ,0 ,0 ,0 ,44.859 ,44.859 ,29.336 ,0 ,15.523 ,0 ,-261.092 ,-44.859 ,216.233 ,0 ,0 
76.,LENDAVA,0 ,0 ,0 ,0 ,0 ,0 ,20.969 ,20.969 ,0 ,0 ,20.969 ,0 ,-3.127.078 ,-20.969 ,3.105.983 ,4.306.985 ,4.306.985 
77.,LITIJA,0 ,0 ,0 ,0 ,0 ,0 ,83.413 ,83.413 ,67.034 ,0 ,16.379 ,0 ,-189.409 ,-83.413 ,132.044 ,1.642.138 ,1.642.138 
78.,MESTNA OBČINA LJUBLJANA,0 ,0 ,0 ,0 ,0 ,0 ,1.983.913 ,1.983.913 ,1.258.212 ,0 ,725.701 ,0 ,-8.376.244 ,-1.983.913 ,4.412.306 ,32.106.126 ,32.106.126 
79.,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.908 ,0 ,10.908 ,0 ,0 
80.,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,100.192 ,100.192 ,100.192 ,0 ,0 ,0 ,-896.635 ,-100.192 ,796.443 ,1.162.253 ,1.162.253 
81.,LOGATEC,116.842 ,116.842 ,116.842 ,0 ,0 ,0 ,244.823 ,244.823 ,60.461 ,0 ,184.362 ,0 ,-321.006 ,-127.981 ,168.882 ,647.091 ,647.091 
82.,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,4.952 ,4.952 ,0 ,0 ,4.952 ,0 ,308.991 ,-4.952 ,-311.267 ,72.338 ,72.338 
83.,LOŠKI POTOK,0 ,0 ,0 ,0 ,0 ,0 ,19.375 ,19.375 ,3.726 ,0 ,15.648 ,0 ,-37.101 ,-19.375 ,17.727 ,39.555 ,39.555 
84.,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,54.177 ,54.177 ,0 ,0 ,54.177 ,0 ,-68.353 ,-54.177 ,14.175 ,256.677 ,256.677 
85.,LUČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-87.623 ,0 ,87.623 ,88.395 ,88.395 
86.,LUKOVICA,103.146 ,103.146 ,0 ,0 ,103.146 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-97.697 ,103.146 ,208.108 ,1.941.637 ,1.941.637 
87.,MAJŠPERK,0 ,0 ,0 ,0 ,0 ,0 ,77.954 ,77.954 ,0 ,77.954 ,0 ,0 ,-276.957 ,-77.954 ,199.003 ,885.265 ,885.265 
88.,MESTNA OBČINA MARIBOR,0 ,0 ,0 ,0 ,0 ,0 ,564.209 ,564.209 ,558.926 ,0 ,5.283 ,0 ,7.765.361 ,-564.209 ,1.787.853 ,10.855.621 ,10.855.621 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.035.494 ,0 ,1.171.019 ,2.226.135 ,2.226.135 
90.,MEDVODE,750.625 ,750.625 ,750.625 ,0 ,0 ,0 ,73.026 ,73.026 ,73.026 ,0 ,0 ,0 ,-144.311 ,677.599 ,821.910 ,330.779 ,330.779 
91.,MENGEŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-407.326 ,0 ,413.582 ,0 ,0 
92.,METLIKA,250.188 ,250.188 ,250.188 ,0 ,0 ,0 ,141.504 ,141.504 ,14.789 ,0 ,126.715 ,0 ,3.718 ,108.684 ,132.561 ,324.061 ,324.061 
93.,MEŽICA,229.511 ,229.511 ,229.511 ,0 ,0 ,0 ,421 ,421 ,421 ,0 ,0 ,0 ,-66.254 ,229.089 ,283.509 ,80.788 ,80.788 
94.,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,13.383 ,13.383 ,0 ,0 ,13.383 ,0 ,-250.476 ,-13.383 ,237.093 ,767.259 ,767.259 
