,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR
169.,119 ,OBČINA ŠENTJERNEJ,"1.928.425,16 ","37.000,00 ","37.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.891.425,16 ","0,00 ","1.891.425,16 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","68,54 ","68,54 ","68,54 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.510.861,12 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.503.091,12 ","2.503.091,12 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.770,00 ","7.770,00 ","565.566,32 ","7.834,80 ","7.834,80 ","557.731,52 ","557.731,52 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","537.497,66 ","11.907,32 ","11.907,32 ","339.027,57 ","339.027,57 ","186.562,77 ","186.562,77 ","0,00 ","0,00 ","5.000,00 ","0,00 ","0,00 ","5.000,00 ","5.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","331.523,75 ","331.523,75 ","240,00 ","331.283,75 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.878.942,55 "
170.,120 ,OBČINA ŠENTJUR,"794.169,52 ","29.355,58 ","29.355,58 ","0,00 ","0,00 ","0,00 ","0,00 ","439.242,95 ","0,00 ","439.242,95 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","325.570,99 ","325.570,99 ","24.127,17 ","24.127,17 ","24.127,17 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.870.878,04 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.936.729,93 ","1.936.729,93 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","534.281,16 ","534.281,16 ","399.866,95 ","399.866,95 ","716.745,14 ","0,00 ","0,00 ","716.745,14 ","716.745,14 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","306.236,54 ","199.338,24 ","199.338,24 ","75.925,86 ","75.925,86 ","30.972,44 ","30.972,44 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","794.539,41 ","368.285,20 ","368.285,20 ","426.254,21 ","426.254,21 ","0,00 ","0,00 ","0,00 ","0,00 ","2.110.171,80 ","2.110.171,80 ","0,00 ","2.110.171,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.616.867,62 "
171.,211 ,OBČINA ŠENTRUPERT,"94.704,63 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","91.704,63 ","0,00 ","91.704,63 ","0,00 ","0,00 ","3.000,00 ","3.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","424.932,12 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","424.932,12 ","424.932,12 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","27.000,00 ","0,00 ","0,00 ","27.000,00 ","27.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","136.402,57 ","702,54 ","702,54 ","100.964,83 ","100.964,83 ","34.735,20 ","34.735,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","44.695,36 ","0,00 ","0,00 ","44.695,36 ","44.695,36 ","0,00 ","0,00 ","0,00 ","0,00 ","256.709,05 ","256.709,05 ","4.100,00 ","252.609,05 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","984.443,73 "
172.,121 ,OBČINA ŠKOCJAN,"9.431,33 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","9.431,33 ","0,00 ","9.431,33 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","702.446,40 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","700.273,02 ","700.273,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.173,38 ","2.173,38 ","1.234,54 ","0,00 ","0,00 ","1.234,54 ","1.234,54 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","418.011,23 ","0,00 ","0,00 ","782,91 ","782,91 ","417.228,32 ","417.228,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","53.757,08 ","53.757,08 ","0,00 ","53.757,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.184.880,58 "
173.,122 ,OBČINA ŠKOFJA LOKA,"321.645,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","213.393,43 ","0,00 ","213.393,43 ","40.242,00 ","40.242,00 ","0,00 ","0,00 ","0,00 ","0,00 ","68.009,59 ","68.009,59 ","5.738,63 ","5.738,63 ","5.738,63 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.617.715,22 ","0,00 ","0,00 ","0,00 ","2.449,29 ","2.449,29 ","0,00 ","0,00 ","189.599,19 ","189.599,19 ","0,00 ","0,00 ","3.004.173,74 ","3.004.173,74 ","0,00 ","0,00 ","0,00 ","47.763,10 ","47.763,10 ","0,00 ","0,00 ","373.729,90 ","373.729,90 ","1.066.722,24 ","413.292,18 ","413.292,18 ","653.430,06 ","653.430,06 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.374.327,48 ","420.094,04 ","420.094,04 ","0,00 ","0,00 ","627.096,75 ","627.096,75 ","327.136,69 ","327.136,69 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.213.035,29 ","23.842,56 ","23.842,56 ","1.189.192,73 ","1.189.192,73 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.143,21 ","0,00 ","0,00 ","0,00 ","0,00 ","3.143,21 ","3.143,21 ","0,00 ","0,00 ","7.602.327,09 "
174.,123 ,OBČINA ŠKOFLJICA,"909.301,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","909.301,92 ","0,00 ","909.301,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.939,06 ","7.939,06 ","7.939,06 ","6.600,00 ","6.600,00 ","6.600,00 ","0,00 ","0,00 ","168.943,85 ","89.923,00 ","89.923,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","66.867,55 ","66.867,55 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.153,30 ","12.153,30 ","302.935,99 ","0,00 ","0,00 ","302.935,99 ","302.935,99 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","308.544,78 ","0,00 ","0,00 ","108.991,09 ","108.991,09 ","161.762,90 ","161.762,90 ","37.790,79 ","37.790,79 ","2.949,47 ","0,00 ","0,00 ","2.949,47 ","2.949,47 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","15.213,53 ","0,00 ","0,00 ","14.863,54 ","14.863,54 ","349,99 ","349,99 ","0,00 ","0,00 ","895.664,22 ","895.664,22 ","10.285,00 ","885.379,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.618.092,82 "
175.,124 ,OBČINA ŠMARJE PRI JELŠAH,"953.568,17 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","953.568,17 ","0,00 ","953.568,17 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.066,24 ","6.066,24 ","6.066,24 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.857.472,77 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.704.367,35 ","2.704.367,35 ","0,00 ","0,00 ","0,00 ","1.488,05 ","1.488,05 ","47.100,69 ","47.100,69 ","104.516,68 ","104.516,68 ","85.981,24 ","53,06 ","53,06 ","66.020,18 ","66.020,18 ","0,00 ","0,00 ","0,00 ","0,00 ","19.908,00 ","19.908,00 ","226.798,23 ","145.306,26 ","145.306,26 ","52.420,32 ","52.420,32 ","14.957,64 ","14.957,64 ","14.114,01 ","14.114,01 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","254.946,64 ","122.122,37 ","122.122,37 ","132.824,27 ","132.824,27 ","0,00 ","0,00 ","0,00 ","0,00 ","579.295,25 ","579.295,25 ","0,00 ","579.295,25 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.964.128,54 "
176.,206 ,OBČINA ŠMARJEŠKE TOPLICE,"15.028,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","15.028,92 ","0,00 ","15.028,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","190.770,05 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","167.828,45 ","167.828,45 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.703,60 ","5.703,60 ","17.238,00 ","17.238,00 ","5.788,22 ","0,00 ","0,00 ","5.788,22 ","5.788,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","885.782,49 ","0,00 ","0,00 ","48.633,02 ","48.633,02 ","837.149,47 ","837.149,47 ","0,00 ","0,00 ","4.739,04 ","0,00 ","0,00 ","4.739,04 ","4.739,04 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.200,00 ","1.200,00 ","1.200,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","30.823,51 ","30.823,51 ","18.338,31 ","12.485,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.134.132,23 "
177.,125 ,OBČINA ŠMARTNO OB PAKI,"52.727,84 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","52.727,84 ","0,00 ","52.727,84 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","82.730,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","81.045,00 ","81.045,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.685,00 ","1.685,00 ","0,00 ","0,00 ","3.390,90 ","0,00 ","0,00 ","3.390,90 ","3.390,90 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","145.597,00 ","54.573,00 ","54.573,00 ","10.909,00 ","10.909,00 ","65.019,00 ","65.019,00 ","15.096,00 ","15.096,00 ","16.800,00 ","0,00 ","0,00 ","16.800,00 ","16.800,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","77.732,00 ","74.455,00 ","74.455,00 ","3.277,00 ","3.277,00 ","0,00 ","0,00 ","0,00 ","0,00 ","169.917,00 ","169.917,00 ","66.712,00 ","103.205,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","548.894,74 "
178.,194 ,OBČINA ŠMARTNO PRI LITIJI,"96.095,58 ","50.207,08 ","50.207,08 ","0,00 ","0,00 ","0,00 ","0,00 ","45.888,50 ","0,00 ","45.888,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.566,98 ","1.566,98 ","1.566,98 ","0,00 ","0,00 ","936.413,73 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","179.787,12 ","179.787,12 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","756.626,61 ","756.626,61 ","47.793,81 ","5.226,88 ","5.226,88 ","42.566,93 ","42.566,93 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","620.669,47 ","214.128,32 ","214.128,32 ","0,00 ","0,00 ","389.035,46 ","389.035,46 ","17.505,69 ","17.505,69 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.534,16 ","0,00 ","0,00 ","4.534,16 ","4.534,16 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.707.073,73 "
179.,126 ,OBČINA ŠOŠTANJ,"175.398,41 ","14.084,72 ","14.084,72 ","0,00 ","0,00 ","0,00 ","0,00 ","160.989,69 ","0,00 ","160.989,69 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","324,00 ","324,00 ","2.119,20 ","2.119,20 ","2.119,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.488.197,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.477.769,60 ","1.477.769,60 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.449,98 ","1.449,98 ","8.977,50 ","8.977,50 ","160.988,04 ","0,00 ","0,00 ","149.666,04 ","149.666,04 ","11.322,00 ","11.322,00 ","0,00 ","0,00 ","0,00 ","0,00 ","297.793,82 ","48.983,58 ","48.983,58 ","107.524,06 ","107.524,06 ","30.819,00 ","30.819,00 ","110.467,18 ","110.467,18 ","165.851,00 ","0,00 ","0,00 ","165.851,00 ","165.851,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.002.168,34 ","202.520,72 ","202.520,72 ","790.649,54 ","790.649,54 ","8.998,08 ","8.998,08 ","0,00 ","0,00 ","676.975,76 ","676.975,76 ","3.714,00 ","673.261,76 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.969.491,65 "
180.,127 ,OBČINA ŠTORE,"122.305,35 ","2.580,35 ","2.580,35 ","0,00 ","0,00 ","0,00 ","0,00 ","119.725,00 ","0,00 ","119.725,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","171.888,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","166.031,49 ","166.031,49 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.856,92 ","5.856,92 ","171.174,54 ","0,00 ","0,00 ","159.767,19 ","159.767,19 ","11.407,35 ","11.407,35 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","216.903,53 ","131.778,99 ","131.778,99 ","85.124,54 ","85.124,54 ","0,00 ","0,00 ","0,00 ","0,00 ","71.977,56 ","71.977,56 ","71.977,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","754.249,39 "
181.,184 ,OBČINA TABOR,"95.715,17 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","88.684,08 ","0,00 ","88.684,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.031,09 ","7.031,09 ","1.973,62 ","1.973,62 ","1.973,62 ","20.157,18 ","0,00 ","0,00 ","20.157,18 ","20.157,18 ","133.883,58 ","0,00 ","0,00 ","0,00 ","760,02 ","760,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","133.123,56 ","133.123,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","47.435,79 ","0,00 ","0,00 ","47.435,79 ","47.435,79 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","65.779,36 ","36.212,29 ","36.212,29 ","16.821,45 ","16.821,45 ","12.745,62 ","12.745,62 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.379,76 ","959,76 ","959,76 ","420,00 ","420,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.103,86 ","0,00 ","0,00 ","0,00 ","0,00 ","2.103,86 ","2.103,86 ","0,00 ","0,00 ","368.428,32 "
182.,10 ,OBČINA TIŠINA,"72.624,15 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","72.624,15 ","0,00 ","72.624,15 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.036,00 ","3.036,00 ","3.036,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","691.538,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","669.123,37 ","669.123,37 ","0,00 ","0,00 ","0,00 ","2.144,51 ","2.144,51 ","0,00 ","0,00 ","20.270,20 ","20.270,20 ","299.624,02 ","0,00 ","0,00 ","299.624,02 ","299.624,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.308,27 ","0,00 ","0,00 ","7.050,00 ","7.050,00 ","1.258,27 ","1.258,27 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.849,61 ","2.849,61 ","2.849,61 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.077.980,13 "
183.,128 ,OBČINA TOLMIN,"228.436,22 ","75.917,56 ","0,00 ","0,00 ","75.917,56 ","0,00 ","0,00 ","152.518,66 ","0,00 ","152.518,66 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.980,00 ","1.980,00 ","1.980,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.145.661,05 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.706.429,31 ","2.706.429,31 ","0,00 ","0,00 ","0,00 ","9.655,37 ","9.655,37 ","276.612,00 ","276.612,00 ","152.964,37 ","152.964,37 ","106.799,29 ","0,00 ","0,00 ","106.799,29 ","106.799,29 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","246.304,03 ","120.230,56 ","120.230,56 ","72.459,63 ","72.459,63 ","2.045,65 ","2.045,65 ","51.568,19 ","51.568,19 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","14.622,95 ","0,00 ","0,00 ","14.622,95 ","14.622,95 ","0,00 ","0,00 ","0,00 ","0,00 ","266.102,03 ","266.102,03 ","0,00 ","266.102,03 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.009.905,57 "
184.,129 ,OBČINA TRBOVLJE,"761.235,88 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","759.291,34 ","0,00 ","759.291,34 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.944,54 ","1.944,54 ","6.000,00 ","6.000,00 ","6.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.779.413,13 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.671.480,75 ","1.671.480,75 ","0,00 ","0,00 ","0,00 ","52.978,28 ","52.978,28 ","0,00 ","0,00 ","54.954,10 ","54.954,10 ","4.135.645,42 ","0,00 ","0,00 ","4.130.116,08 ","4.130.116,08 ","0,00 ","0,00 ","0,00 ","0,00 ","5.529,34 ","5.529,34 ","1.206.136,71 ","752.450,05 ","752.450,05 ","157.997,07 ","157.997,07 ","223.671,18 ","223.671,18 ","72.018,41 ","72.018,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","537.625,60 ","537.625,60 ","537.625,60 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","356.420,06 ","356.420,06 ","0,00 ","356.420,06 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.782.476,80 "
185.,130 ,OBČINA TREBNJE,"93.473,84 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","93.473,84 ","0,00 ","93.473,84 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.676,96 ","3.676,96 ","3.676,96 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.766.710,13 ","10.182,92 ","10.182,92 ","0,00 ","38.079,69 ","38.079,69 ","0,00 ","0,00 ","43.335,33 ","0,00 ","43.335,33 ","0,00 ","2.558.403,53 ","1.787.275,59 ","0,00 ","771.127,94 ","0,00 ","40.857,38 ","40.857,38 ","0,00 ","0,00 ","75.851,28 ","75.851,28 ","134.571,31 ","0,00 ","0,00 ","134.571,31 ","134.571,31 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","435.752,51 ","15.689,21 ","15.689,21 ","32.515,94 ","32.515,94 ","159.520,05 ","159.520,05 ","228.027,31 ","228.027,31 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","290.596,51 ","8.440,06 ","8.440,06 ","282.156,45 ","282.156,45 ","0,00 ","0,00 ","0,00 ","0,00 ","189.973,16 ","189.973,16 ","2.921,05 ","187.052,11 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","602.639,39 ","0,00 ","0,00 ","0,00 ","0,00 ","602.639,39 ","602.639,39 ","0,00 ","0,00 ","4.517.393,81 "
