,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009,FI
,,,,,,,,,,,,,,,,,"STANJE SREDSTEV NA RAČUNIH
DNE 31. 12. PRETEKLEGA LETA",,
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+VII.-VIII.-IX.=-III),,,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,,Splošni sklad za drugo,od tega presežek finančne izravnave iz preteklega leta
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,
72.,KUNGOTA,119.533 ,119.533 ,0 ,0 ,119.533 ,0 ,17.151 ,17.151 ,0 ,0 ,17.151 ,0 ,103.201 ,102.383 ,-818 ,10.119 ,10.119 ,0 
73.,KUZMA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19.386 ,0 ,-14.072 ,-17.134 ,-17.134 ,0 
74.,LAŠKO,0 ,0 ,0 ,0 ,0 ,0 ,125.926 ,125.926 ,125.926 ,0 ,0 ,0 ,50.317 ,-125.926 ,-167.192 ,215.043 ,215.043 ,34.811 
75.,LENART,0 ,0 ,0 ,0 ,0 ,0 ,453.484 ,453.484 ,432.545 ,0 ,20.940 ,0 ,480 ,-453.484 ,-453.964 ,-107.924 ,-107.924 ,-51.377 
76.,LENDAVA,1.746.370 ,1.746.370 ,0 ,0 ,1.746.370 ,0 ,18.396 ,18.396 ,0 ,0 ,18.396 ,0 ,1.959.746 ,1.727.974 ,-235.409 ,2.296.632 ,2.296.632 ,38.904 
77.,LITIJA,0 ,0 ,0 ,0 ,0 ,0 ,85.282 ,85.282 ,68.903 ,0 ,16.379 ,0 ,951.264 ,-85.282 ,-973.973 ,710.946 ,710.946 ,24.491 
78.,MESTNA OBČINA LJUBLJANA,8.345.643 ,8.345.643 ,8.345.643 ,0 ,0 ,0 ,1.843.874 ,1.843.874 ,940.578 ,0 ,903.297 ,0 ,2.479.052 ,6.501.769 ,4.150.830 ,0 ,0 ,0 
79.,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,46.766 ,0 ,-47.179 ,0 ,0 ,0 
80.,LJUTOMER,250.376 ,250.376 ,250.376 ,0 ,0 ,0 ,53.080 ,53.080 ,53.080 ,0 ,0 ,0 ,609.344 ,197.295 ,-412.049 ,1.083.216 ,1.083.216 ,47.859 
81.,LOGATEC,0 ,0 ,0 ,0 ,0 ,0 ,34.400 ,34.400 ,23.035 ,0 ,11.365 ,0 ,154.637 ,-34.400 ,-127.833 ,92.988 ,92.988 ,55.371 
82.,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,4.491 ,4.491 ,0 ,0 ,4.491 ,0 ,-7.357 ,-4.491 ,5.463 ,32.670 ,32.670 ,16.671 
83.,LOŠKI POTOK,111.834 ,111.834 ,0 ,0 ,111.834 ,0 ,10.432 ,10.432 ,0 ,0 ,10.432 ,0 ,-418.812 ,101.402 ,523.552 ,421.353 ,421.353 ,0 
84.,LOVRENC NA POHORJU,333.834 ,333.834 ,0 ,0 ,333.834 ,0 ,2.700 ,2.700 ,0 ,0 ,2.700 ,0 ,556.259 ,331.134 ,-225.125 ,193.991 ,193.991 ,0 
85.,LUČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-54.010 ,0 ,42.547 ,172.117 ,172.117 ,0 
86.,LUKOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,202.207 ,0 ,-183.037 ,74.028 ,74.028 ,2.896 
87.,MAJŠPERK,224.086 ,224.086 ,0 ,0 ,224.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-297.968 ,224.086 ,529.357 ,1.101.803 ,1.101.803 ,0 
88.,MESTNA OBČINA MARIBOR,2.126.815 ,2.126.815 ,2.126.815 ,0 ,0 ,0 ,170.305 ,170.305 ,147.797 ,0 ,22.509 ,0 ,-986.004 ,1.956.510 ,3.717.952 ,5.132.561 ,5.132.561 ,0 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-34.681 ,0 ,34.681 ,0 ,0 ,0 
90.,MEDVODE,584.210 ,584.210 ,584.210 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,389.881 ,584.210 ,194.329 ,126.373 ,126.373 ,3.393 
91.,MENGEŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,578.029 ,0 ,-569.637 ,0 ,0 ,0 
92.,METLIKA,194.738 ,194.738 ,0 ,0 ,194.738 ,0 ,95.426 ,95.426 ,41.729 ,53.697 ,0 ,0 ,-77.495 ,99.311 ,185.462 ,491.304 ,491.304 ,0 
93.,MEŽICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-142.130 ,0 ,149.015 ,675.814 ,675.814 ,2.036 
94.,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-260.457 ,0 ,296.094 ,970.898 ,970.898 ,2.345 
