141.,MESTNA OBČINA SLOVENJ GRADEC,14.133.513 ,9.037.127 ,6.638.666 ,4.446.954 ,4.446.954 ,1.440.039 ,1.188.408 ,58 ,15.774 ,235.800 ,751.673 ,9.306 ,0 ,742.368 ,0 ,0 ,2.398.460 ,1.674.704 ,135.883 ,122.480 ,1.416.341 ,30.433 ,30.433 ,45.410 ,45.410 ,15.686 ,15.686 ,632.228 ,632.228 ,859.072 ,253.142 ,253.142 ,0 ,0 ,0 ,0 ,605.930 ,0 ,605.930 ,0 ,124.211 ,124.211 ,124.211 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.113.103 ,3.408.262 ,2.462.448 ,1.235 ,0 ,135.741 ,808.838 ,704.841 ,0 ,0 ,0 ,0 ,0 ,0 ,704.841 ,0 
142.,SLOVENSKA BISTRICA,18.603.126 ,10.891.162 ,9.388.107 ,6.460.211 ,6.460.211 ,1.470.109 ,1.124.883 ,54 ,51.957 ,293.215 ,1.457.787 ,137.602 ,0 ,1.320.184 ,0 ,0 ,1.503.055 ,434.068 ,0 ,2.996 ,431.072 ,53.159 ,53.159 ,30.325 ,30.325 ,0 ,0 ,985.503 ,985.503 ,1.207.173 ,336.572 ,334.915 ,1.461 ,196 ,0 ,0 ,870.602 ,0 ,870.602 ,0 ,739 ,739 ,739 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.504.052 ,6.482.520 ,6.406.501 ,76.018 ,0 ,0 ,0 ,21.532 ,0 ,0 ,0 ,0 ,0 ,0 ,21.532 ,0 
143.,SLOVENSKE KONJICE,8.971.929 ,4.981.731 ,4.077.762 ,3.126.878 ,3.126.878 ,544.930 ,295.260 ,0 ,15.348 ,234.322 ,405.955 ,9.610 ,0 ,396.345 ,0 ,0 ,903.968 ,273.181 ,4.298 ,11.217 ,257.666 ,25.438 ,25.438 ,7.766 ,7.766 ,383.755 ,383.755 ,213.829 ,213.829 ,203.889 ,173.973 ,173.973 ,0 ,0 ,0 ,0 ,29.916 ,0 ,29.916 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.786.309 ,3.786.309 ,3.704.194 ,82.115 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
144.,SODRAŽICA,1.479.490 ,573.807 ,517.731 ,423.877 ,423.877 ,45.209 ,20.635 ,0 ,4.820 ,19.755 ,48.644 ,104 ,0 ,48.539 ,0 ,0 ,56.076 ,20.518 ,342 ,488 ,19.688 ,3.973 ,3.973 ,104 ,104 ,989 ,989 ,30.492 ,30.492 ,20.022 ,0 ,0 ,0 ,0 ,0 ,0 ,20.022 ,0 ,20.022 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,885.662 ,885.662 ,883.847 ,1.815 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
145.,SOLČAVA,672.605 ,125.751 ,106.560 ,73.239 ,73.239 ,4.160 ,2.157 ,0 ,722 ,1.281 ,29.160 ,217 ,0 ,28.943 ,0 ,0 ,19.191 ,16.562 ,0 ,785 ,15.778 ,1.340 ,1.340 ,0 ,0 ,1.072 ,1.072 ,217 ,217 ,246 ,246 ,246 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,546.607 ,546.607 ,540.444 ,0 ,0 ,6.163 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
146.,STARŠE,2.575.805 ,1.811.250 ,1.374.633 ,820.068 ,820.068 ,451.102 ,429.932 ,117 ,4.115 ,16.938 ,103.464 ,1.077 ,0 ,102.387 ,0 ,0 ,436.617 ,383.379 ,9.815 ,41.045 ,332.520 ,7.954 ,7.954 ,1.193 ,1.193 ,3.885 ,3.885 ,40.206 ,40.206 ,155.704 ,363 ,363 ,0 ,0 ,0 ,0 ,155.341 ,0 ,155.341 ,0 ,530 ,530 ,405 ,125 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,608.321 ,608.321 ,533.137 ,70.381 ,0 ,4.803 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
147.,SVETA ANA,1.329.606 ,496.453 ,350.182 ,254.326 ,254.326 ,43.793 ,35.360 ,0 ,0 ,8.432 ,52.064 ,996 ,0 ,51.068 ,0 ,0 ,146.271 ,25.284 ,866 ,11.016 ,13.403 ,1.789 ,1.789 ,1.717 ,1.717 ,76.563 ,76.563 ,40.918 ,40.918 ,54.110 ,0 ,0 ,0 ,0 ,0 ,0 ,54.110 ,0 ,54.110 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,779.043 ,779.043 ,779.043 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,1.377.612 ,199.078 ,142.848 ,104.382 ,104.382 ,10.303 ,9.114 ,0 ,305 ,885 ,28.163 ,146 ,0 ,28.017 ,0 ,0 ,56.230 ,8.404 ,225 ,6.768 ,1.410 ,2.295 ,2.295 ,280 ,280 ,0 ,0 ,45.251 ,45.251 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.830 ,5.830 ,5.830 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.172.705 ,1.172.705 ,1.155.554 ,7.307 ,0 ,9.844 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
149.,SVETI JURIJ,2.123.193 ,1.089.018 ,883.716 ,319.493 ,319.493 ,50.349 ,29.813 ,0 ,4.246 ,16.290 ,513.875 ,0 ,0 ,513.875 ,0 ,0 ,205.302 ,148.879 ,0 ,15.371 ,133.508 ,2.011 ,2.011 ,875 ,875 ,0 ,0 ,53.538 ,53.538 ,41.279 ,36.831 ,36.831 ,0 ,0 ,0 ,0 ,4.448 ,0 ,4.448 ,0 ,28.000 ,28.000 ,2.449 ,25.551 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,964.896 ,964.896 ,962.776 ,2.120 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
150.,ŠALOVCI,1.691.876 ,328.447 ,211.117 ,138.408 ,138.408 ,64.030 ,48.889 ,0 ,805 ,14.336 ,8.679 ,369 ,0 ,8.310 ,0 ,0 ,117.330 ,13.357 ,0 ,592 ,12.766 ,3.950 ,3.950 ,0 ,0 ,0 ,0 ,100.022 ,100.022 ,505.639 ,502.300 ,1.549 ,0 ,0 ,500.751 ,0 ,3.338 ,3.338 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,857.790 ,857.790 ,841.353 ,0 ,0 ,16.437 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
151.,ŠEMPETER - VRTOJBA,7.203.127 ,5.515.093 ,3.714.712 ,2.637.835 ,2.637.835 ,801.629 ,645.161 ,0 ,11.528 ,144.940 ,275.247 ,3.630 ,0 ,271.617 ,0 ,0 ,1.800.382 ,1.626.146 ,24.985 ,85.776 ,1.515.385 ,8.959 ,8.959 ,15.426 ,15.426 ,75.054 ,75.054 ,74.797 ,74.797 ,1.567.043 ,105.841 ,105.841 ,0 ,0 ,0 ,0 ,1.461.202 ,7.882 ,1.453.320 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,120.991 ,120.991 ,120.991 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
152.,ŠENČUR,5.647.822 ,3.534.285 ,2.837.569 ,2.381.781 ,2.381.781 ,200.246 ,68.140 ,29 ,11.985 ,120.093 ,255.542 ,2.771 ,0 ,252.771 ,0 ,0 ,696.716 ,249.353 ,53.013 ,63.879 ,132.461 ,10.587 ,10.587 ,7.040 ,7.040 ,46.741 ,46.741 ,382.995 ,382.995 ,1.565.048 ,0 ,0 ,0 ,0 ,0 ,0 ,1.565.048 ,0 ,1.565.048 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,548.489 ,548.489 ,548.489 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
153.,ŠENTILJ,5.749.320 ,3.791.279 ,3.147.651 ,1.565.169 ,1.565.169 ,391.220 ,371.520 ,0 ,4.565 ,15.135 ,1.191.262 ,1.235 ,0 ,1.190.027 ,0 ,0 ,643.628 ,183.121 ,6.718 ,10.562 ,165.840 ,8.045 ,8.045 ,3.568 ,3.568 ,34.911 ,34.911 ,413.983 ,413.983 ,46.616 ,2.061 ,2.061 ,0 ,0 ,0 ,0 ,44.554 ,0 ,44.554 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.911.425 ,1.911.425 ,1.774.745 ,56.848 ,0 ,79.832 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
154.,ŠENTJERNEJ,4.431.030 ,2.647.684 ,1.771.495 ,1.336.797 ,1.336.797 ,236.179 ,178.877 ,92 ,8.959 ,48.252 ,198.519 ,2.224 ,0 ,196.294 ,0 ,0 ,876.189 ,105.992 ,1.757 ,16.892 ,87.344 ,5.629 ,5.629 ,13.479 ,13.479 ,31.456 ,31.456 ,719.634 ,719.634 ,7.052 ,0 ,0 ,0 ,0 ,0 ,0 ,7.052 ,0 ,7.052 ,0 ,19.200 ,19.200 ,19.200 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.757.094 ,1.757.094 ,1.757.094 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
155.,ŠENTJUR,11.637.686 ,6.048.607 ,4.669.989 ,3.796.428 ,3.796.428 ,507.887 ,299.587 ,96 ,16.441 ,191.763 ,365.674 ,10.098 ,0 ,355.575 ,0 ,0 ,1.378.618 ,409.322 ,8.162 ,11.325 ,389.835 ,30.759 ,30.759 ,6.518 ,6.518 ,2.174 ,2.174 ,929.845 ,929.845 ,738.958 ,666.137 ,665.039 ,0 ,0 ,1.097 ,0 ,72.822 ,42.581 ,30.241 ,0 ,3.297 ,0 ,0 ,0 ,3.297 ,0 ,0 ,0 ,3.297 ,0 ,0 ,4.846.824 ,4.846.824 ,4.841.279 ,5.546 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
156.,ŠKOCJAN,2.324.399 ,835.073 ,698.748 ,501.156 ,501.156 ,102.475 ,72.705 ,0 ,12.782 ,16.988 ,95.118 ,179 ,0 ,94.938 ,0 ,0 ,136.325 ,69.705 ,922 ,32.878 ,35.904 ,2.725 ,2.725 ,6.560 ,6.560 ,2.558 ,2.558 ,54.778 ,54.778 ,1.306 ,0 ,0 ,0 ,0 ,0 ,0 ,1.306 ,0 ,1.306 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.488.020 ,1.389.810 ,1.383.079 ,0 ,0 ,6.731 ,0 ,98.210 ,87.364 ,0 ,0 ,0 ,0 ,0 ,10.845 ,0 
157.,ŠKOFJA LOKA,14.657.332 ,11.967.021 ,9.593.887 ,7.122.267 ,7.122.267 ,2.120.385 ,1.589.401 ,0 ,50.588 ,480.396 ,351.235 ,11.784 ,0 ,339.451 ,0 ,0 ,2.373.135 ,842.606 ,34.531 ,18.123 ,789.952 ,16.049 ,16.049 ,17.889 ,17.889 ,12.293 ,12.293 ,1.484.297 ,1.484.297 ,1.476.811 ,610.457 ,610.215 ,0 ,0 ,242 ,0 ,866.354 ,0 ,866.354 ,0 ,41.729 ,0 ,0 ,0 ,41.729 ,41.729 ,0 ,0 ,0 ,0 ,0 ,1.171.770 ,1.171.770 ,1.014.167 ,157.603 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
158.,ŠKOFLJICA,4.559.990 ,4.351.035 ,3.339.651 ,2.718.002 ,2.718.002 ,391.500 ,194.884 ,196 ,11.680 ,184.740 ,230.149 ,11.989 ,0 ,218.161 ,0 ,0 ,1.011.384 ,217.259 ,57.269 ,94.471 ,65.519 ,18.119 ,18.119 ,6.994 ,6.994 ,26.832 ,26.832 ,742.180 ,742.180 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,209 ,209 ,209 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,208.746 ,208.746 ,152.258 ,5.496 ,0 ,50.993 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
159.,ŠMARJE PRI JELŠAH,5.920.038 ,2.843.444 ,2.409.326 ,1.685.124 ,1.685.124 ,378.760 ,300.943 ,0 ,21.002 ,56.814 ,345.443 ,2.491 ,0 ,342.952 ,0 ,0 ,434.118 ,259.276 ,0 ,13.595 ,245.681 ,20.176 ,20.176 ,2.495 ,2.495 ,175 ,175 ,151.995 ,151.995 ,280.183 ,278.760 ,278.760 ,0 ,0 ,0 ,0 ,1.423 ,0 ,1.423 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.796.411 ,2.796.411 ,2.647.505 ,50.855 ,0 ,51.811 ,46.240 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
160.,ŠMARTNO OB PAKI,1.629.194 ,1.199.791 ,1.048.460 ,775.088 ,775.088 ,189.184 ,125.067 ,0 ,2.550 ,61.567 ,84.189 ,488 ,0 ,83.701 ,0 ,0 ,151.331 ,25.972 ,0 ,129 ,25.843 ,5.475 ,5.475 ,1.928 ,1.928 ,0 ,0 ,117.956 ,117.956 ,42.138 ,35.704 ,35.704 ,0 ,0 ,0 ,0 ,6.435 ,2.992 ,3.443 ,0 ,1.043 ,1.043 ,1.043 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,386.221 ,324.545 ,304.315 ,20.230 ,0 ,0 ,0 ,61.676 ,61.676 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
161.,ŠMARTNO PRI LITIJI,3.309.966 ,1.432.985 ,1.251.245 ,972.320 ,972.320 ,202.066 ,163.871 ,178 ,7.862 ,30.155 ,76.860 ,1.318 ,0 ,75.542 ,0 ,0 ,181.740 ,108.101 ,12 ,9.281 ,98.808 ,8.658 ,8.658 ,1.240 ,1.240 ,181 ,181 ,63.560 ,63.560 ,590.461 ,513.029 ,509.899 ,3.130 ,0 ,0 ,0 ,77.432 ,37.901 ,39.531 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.286.520 ,1.286.520 ,1.286.520 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
162.,ŠOŠTANJ,6.304.991 ,4.976.832 ,3.388.700 ,2.154.557 ,2.154.557 ,823.227 ,727.099 ,0 ,16.496 ,79.632 ,410.916 ,935 ,0 ,409.982 ,0 ,0 ,1.588.132 ,259.135 ,4 ,18.302 ,240.828 ,15.803 ,15.803 ,15.774 ,15.774 ,6.622 ,6.622 ,1.290.799 ,1.290.799 ,241.107 ,231.923 ,231.923 ,0 ,0 ,0 ,0 ,9.185 ,0 ,9.185 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.087.051 ,1.087.051 ,1.030.517 ,56.535 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
163.,ŠTORE,2.647.363 ,1.291.750 ,1.108.842 ,768.161 ,768.161 ,182.937 ,126.298 ,4 ,1.214 ,55.421 ,157.745 ,2.550 ,0 ,155.195 ,0 ,0 ,182.908 ,47.734 ,0 ,7.056 ,40.678 ,4.711 ,4.711 ,355 ,355 ,4.786 ,4.786 ,125.321 ,125.321 ,547.129 ,309.998 ,309.998 ,0 ,0 ,0 ,0 ,237.131 ,0 ,237.131 ,0 ,835 ,835 ,835 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,807.649 ,807.649 ,807.649 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
164.,TABOR,1.106.927 ,327.608 ,295.055 ,225.488 ,225.488 ,28.802 ,19.525 ,0 ,1.648 ,7.628 ,40.765 ,0 ,0 ,40.765 ,0 ,0 ,32.553 ,10.332 ,1.886 ,622 ,7.824 ,1.465 ,1.465 ,0 ,0 ,9.560 ,9.560 ,11.196 ,11.196 ,3.735 ,3.735 ,3.735 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,775.584 ,775.584 ,747.062 ,19.984 ,0 ,8.538 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
165.,TIŠINA,3.008.884 ,1.051.833 ,834.436 ,676.471 ,676.471 ,56.484 ,46.714 ,0 ,225 ,9.545 ,101.480 ,2.807 ,0 ,98.673 ,0 ,0 ,217.398 ,29.503 ,2.989 ,2.701 ,23.813 ,6.285 ,6.285 ,212 ,212 ,111.394 ,111.394 ,70.003 ,70.003 ,22.530 ,6.677 ,0 ,6.677 ,0 ,0 ,0 ,15.854 ,3.952 ,11.902 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.934.520 ,1.671.039 ,1.632.216 ,0 ,0 ,38.823 ,0 ,263.481 ,263.481 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
166.,TOLMIN,8.017.906 ,5.130.901 ,3.895.172 ,3.074.395 ,3.074.395 ,434.506 ,295.264 ,33 ,25.764 ,113.445 ,386.271 ,5.805 ,0 ,380.467 ,0 ,0 ,1.235.729 ,1.167.009 ,351 ,24.533 ,1.142.126 ,10.374 ,10.374 ,5.450 ,5.450 ,943 ,943 ,51.953 ,51.953 ,124.908 ,115.031 ,115.031 ,0 ,0 ,0 ,0 ,9.877 ,0 ,9.877 ,0 ,209 ,209 ,209 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.761.889 ,2.761.889 ,2.721.224 ,40.665 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
167.,TRBOVLJE,11.754.778 ,8.079.323 ,7.046.511 ,4.824.111 ,4.824.111 ,1.464.451 ,1.236.818 ,0 ,20.819 ,206.814 ,757.949 ,9.289 ,0 ,748.660 ,0 ,0 ,1.032.812 ,922.997 ,33.721 ,22.158 ,867.117 ,14.493 ,14.493 ,9.523 ,9.523 ,188 ,188 ,85.612 ,85.612 ,864.872 ,503.747 ,501.836 ,1.911 ,0 ,0 ,0 ,361.125 ,0 ,361.125 ,0 ,62.156 ,62.156 ,62.156 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.748.427 ,2.748.427 ,1.930.279 ,0 ,0 ,818.148 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
168.,TREBNJE,12.892.155 ,7.336.484 ,5.856.764 ,4.234.147 ,4.234.147 ,952.504 ,662.256 ,250 ,47.584 ,242.414 ,670.114 ,9.080 ,0 ,661.033 ,0 ,0 ,1.479.720 ,425.864 ,0 ,113.783 ,312.081 ,21.766 ,21.766 ,19.592 ,19.592 ,121.090 ,121.090 ,891.408 ,891.408 ,1.248.322 ,9.176 ,9.176 ,0 ,0 ,0 ,0 ,1.239.146 ,32.140 ,1.207.006 ,0 ,209 ,209 ,209 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.307.140 ,4.014.843 ,3.722.425 ,89.730 ,0 ,202.687 ,0 ,292.297 ,42.576 ,0 ,249.720 ,0 ,0 ,0 ,0 ,0 
169.,TRNOVSKA VAS,1.435.528 ,242.601 ,222.959 ,139.559 ,139.559 ,50.413 ,45.276 ,0 ,359 ,4.778 ,32.987 ,63 ,0 ,32.924 ,0 ,0 ,19.642 ,12.573 ,225 ,8.262 ,4.085 ,1.052 ,1.052 ,755 ,755 ,0 ,0 ,5.262 ,5.262 ,32.236 ,697 ,643 ,0 ,54 ,0 ,31.539 ,0 ,0 ,0 ,0 ,855 ,855 ,480 ,376 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.159.836 ,1.159.836 ,1.147.651 ,6.230 ,0 ,5.955 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
170.,TRZIN,3.838.249 ,3.435.020 ,2.823.932 ,2.063.440 ,2.063.440 ,599.623 ,369.339 ,51 ,3.745 ,226.489 ,160.870 ,6.344 ,0 ,154.526 ,0 ,0 ,611.088 ,362.161 ,137.707 ,24.077 ,200.377 ,10.841 ,10.841 ,14.562 ,14.562 ,31.692 ,31.692 ,191.833 ,191.833 ,332.697 ,28.334 ,26.248 ,0 ,2.086 ,0 ,0 ,304.363 ,7.112 ,293.354 ,3.898 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,70.532 ,70.532 ,70.532 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
171.,TRŽIČ,9.333.570 ,6.329.851 ,4.941.942 ,3.726.072 ,3.726.072 ,641.223 ,445.188 ,290 ,13.816 ,181.929 ,574.647 ,8.630 ,0 ,566.016 ,0 ,0 ,1.387.909 ,1.156.899 ,824 ,718.249 ,437.827 ,23.160 ,23.160 ,29.218 ,29.218 ,28.413 ,28.413 ,150.219 ,150.219 ,208.213 ,109.432 ,109.300 ,0 ,132 ,0 ,0 ,98.781 ,15.101 ,83.680 ,0 ,47 ,47 ,5 ,42 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.795.460 ,2.629.153 ,2.629.153 ,0 ,0 ,0 ,0 ,166.306 ,0 ,0 ,0 ,0 ,0 ,0 ,166.306 ,0 
172.,TURNIŠČE,1.734.781 ,836.651 ,569.041 ,475.776 ,475.776 ,60.061 ,48.374 ,0 ,3.492 ,8.195 ,33.204 ,875 ,0 ,32.330 ,0 ,0 ,267.609 ,12.737 ,0 ,806 ,11.932 ,2.888 ,2.888 ,1.487 ,1.487 ,0 ,0 ,250.498 ,250.498 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,898.131 ,893.958 ,893.958 ,0 ,0 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.173 
173.,MESTNA OBČINA VELENJE,23.025.583 ,19.452.732 ,17.121.674 ,10.904.858 ,10.904.858 ,4.238.491 ,3.762.944 ,6 ,12.584 ,462.957 ,1.978.325 ,27.101 ,0 ,1.951.225 ,0 ,0 ,2.331.059 ,1.302.934 ,652 ,50.198 ,1.252.084 ,50.250 ,50.250 ,53.985 ,53.985 ,133.767 ,133.767 ,790.124 ,790.124 ,1.219.427 ,770.525 ,770.525 ,0 ,0 ,0 ,0 ,448.902 ,0 ,448.902 ,0 ,25.789 ,25.789 ,25.747 ,42 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.327.634 ,1.520.108 ,1.181.671 ,262.321 ,0 ,76.116 ,0 ,807.526 ,796.404 ,0 ,11.122 ,0 ,0 ,0 ,0 ,0 
174.,VELIKA POLANA,839.439 ,339.558 ,238.990 ,220.877 ,220.877 ,12.618 ,8.203 ,0 ,1.358 ,3.057 ,5.495 ,70 ,0 ,5.425 ,0 ,0 ,100.568 ,13.761 ,0 ,345 ,13.417 ,970 ,970 ,789 ,789 ,51.562 ,51.562 ,33.485 ,33.485 ,28.224 ,25.746 ,25.746 ,0 ,0 ,0 ,0 ,2.478 ,2.478 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,471.658 ,432.015 ,432.015 ,0 ,0 ,0 ,0 ,39.643 ,0 ,0 ,39.643 ,0 ,0 ,0 ,0 ,0 
175.,VELIKE LAŠČE,2.432.374 ,1.670.255 ,1.248.606 ,1.073.243 ,1.073.243 ,141.408 ,72.321 ,0 ,18.357 ,50.730 ,33.955 ,889 ,0 ,33.066 ,0 ,0 ,421.649 ,32.595 ,0 ,11.889 ,20.706 ,5.325 ,5.325 ,2.500 ,2.500 ,13.391 ,13.391 ,367.839 ,367.839 ,951 ,0 ,0 ,0 ,0 ,0 ,0 ,951 ,0 ,951 ,0 ,40.206 ,40.206 ,0 ,40.206 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,720.961 ,720.961 ,717.309 ,1.089 ,2.562 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
176.,VERŽEJ,827.388 ,419.895 ,365.450 ,250.289 ,250.289 ,40.949 ,21.203 ,36 ,1.145 ,18.565 ,74.213 ,0 ,0 ,74.213 ,0 ,0 ,54.445 ,9.376 ,0 ,1.372 ,8.003 ,2.372 ,2.372 ,0 ,0 ,257 ,257 ,42.441 ,42.441 ,2.178 ,2.178 ,2.178 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,405.315 ,405.315 ,389.306 ,16.009 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
177.,VIDEM,2.945.038 ,1.564.906 ,1.231.718 ,821.804 ,821.804 ,104.786 ,89.447 ,138 ,2.220 ,12.982 ,305.129 ,166.863 ,0 ,138.266 ,0 ,0 ,333.187 ,61.321 ,1.244 ,9.005 ,51.072 ,7.803 ,7.803 ,4.106 ,4.106 ,94.241 ,94.241 ,165.715 ,165.715 ,19.550 ,18.657 ,18.657 ,0 ,0 ,0 ,0 ,893 ,718 ,175 ,0 ,100 ,100 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.360.482 ,1.360.482 ,1.331.831 ,24.866 ,0 ,3.785 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
178.,VIPAVA,3.494.721 ,2.257.036 ,1.616.062 ,1.217.418 ,1.217.418 ,187.469 ,127.533 ,421 ,9.948 ,49.566 ,211.175 ,159 ,0 ,211.017 ,0 ,0 ,640.974 ,600.004 ,46.461 ,25.321 ,528.222 ,4.816 ,4.816 ,609 ,609 ,2.070 ,2.070 ,33.475 ,33.475 ,30.212 ,0 ,0 ,0 ,0 ,0 ,138 ,30.074 ,163 ,29.912 ,0 ,1.097 ,1.097 ,0 ,1.097 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.206.376 ,1.127.086 ,1.017.994 ,109.093 ,0 ,0 ,0 ,79.290 ,79.290 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
179.,VITANJE,1.333.555 ,492.923 ,426.890 ,340.252 ,340.252 ,49.512 ,35.733 ,0 ,1.461 ,12.318 ,37.127 ,739 ,0 ,36.388 ,0 ,0 ,66.032 ,7.966 ,4.298 ,3.100 ,568 ,5.170 ,5.170 ,159 ,159 ,0 ,0 ,52.737 ,52.737 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.173 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,836.459 ,836.459 ,830.692 ,4.924 ,0 ,843 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
