58.,KANAL,4.277 ,4.277 ,4.277 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30.045 ,30.045 ,30.045 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-25.768 ,220.159 
59.,KIDRIČEVO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.038 ,25.038 ,0 ,0 ,0 ,0 ,25.038 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-25.038 ,502.245 
60.,KOBARID,10.820 ,10.820 ,5.183 ,0 ,5.638 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.820 ,4.795 
61.,KOBILJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35.416 
62.,KOČEVJE,216.875 ,7.799 ,7.799 ,0 ,0 ,0 ,0 ,0 ,209.076 ,0 ,209.076 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,216.875 ,185.708 
63.,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.831 
64.,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-154.081 
65.,KOPER (M),401 ,401 ,0 ,0 ,0 ,0 ,401 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,401 ,287.527 
66.,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.957 ,267 ,267 ,0 ,0 ,0 ,0 ,0 ,1.690 ,0 ,0 ,0 ,0 ,1.690 ,-1.957 ,0 
67.,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16.721 
68.,KRANJ (M),682.478 ,682.478 ,410.144 ,0 ,0 ,0 ,272.334 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,682.478 ,613.074 
